001-0000 北海道 札幌市北区
001-0010 北海道 札幌市北区 北十条西
001-0010 北海道 札幌市北区 北十条西
001-0010 北海道 札幌市北区 北十条西
001-0010 北海道 札幌市北区 北十条西
001-0011 北海道 札幌市北区 北十一条西
001-0011 北海道 札幌市北区 北十一条西
001-0011 北海道 札幌市北区 北十一条西
001-0011 北海道 札幌市北区 北十一条西
001-0012 北海道 札幌市北区 北十二条西
001-0012 北海道 札幌市北区 北十二条西
001-0012 北海道 札幌市北区 北十二条西
001-0012 北海道 札幌市北区 北十二条西
001-0013 北海道 札幌市北区 北十三条西
001-0013 北海道 札幌市北区 北十三条西
001-0013 北海道 札幌市北区 北十三条西
001-0013 北海道 札幌市北区 北十三条西
001-0014 北海道 札幌市北区 北十四条西
001-0014 北海道 札幌市北区 北十四条西
001-0014 北海道 札幌市北区 北十四条西
001-0014 北海道 札幌市北区 北十四条西
001-0015 北海道 札幌市北区 北十五条西
001-0015 北海道 札幌市北区 北十五条西
001-0015 北海道 札幌市北区 北十五条西
001-0015 北海道 札幌市北区 北十五条西
001-0015 北海道 札幌市北区 北十五条西
001-0016 北海道 札幌市北区 北十六条西
001-0016 北海道 札幌市北区 北十六条西
001-0016 北海道 札幌市北区 北十六条西
001-0016 北海道 札幌市北区 北十六条西
001-0016 北海道 札幌市北区 北十六条西
001-0016 北海道 札幌市北区 北十六条西
001-0017 北海道 札幌市北区 北十七条西
001-0017 北海道 札幌市北区 北十七条西
001-0017 北海道 札幌市北区 北十七条西
001-0017 北海道 札幌市北区 北十七条西
001-0017 北海道 札幌市北区 北十七条西
001-0017 北海道 札幌市北区 北十七条西
001-0018 北海道 札幌市北区 北十八条西
001-0018 北海道 札幌市北区 北十八条西
001-0018 北海道 札幌市北区 北十八条西
001-0018 北海道 札幌市北区 北十八条西
001-0018 北海道 札幌市北区 北十八条西
001-0018 北海道 札幌市北区 北十八条西
001-0018 北海道 札幌市北区 北十八条西
001-0019 北海道 札幌市北区 北十九条西
001-0019 北海道 札幌市北区 北十九条西
001-0019 北海道 札幌市北区 北十九条西
001-0019 北海道 札幌市北区 北十九条西
001-0019 北海道 札幌市北区 北十九条西
001-0019 北海道 札幌市北区 北十九条西
001-0020 北海道 札幌市北区 北二十条西
001-0020 北海道 札幌市北区 北二十条西
001-0020 北海道 札幌市北区 北二十条西
001-0020 北海道 札幌市北区 北二十条西
001-0020 北海道 札幌市北区 北二十条西
001-0020 北海道 札幌市北区 北二十条西
001-0020 北海道 札幌市北区 北二十条西
001-0020 北海道 札幌市北区 北二十条西
001-0020 北海道 札幌市北区 北二十条西
001-0021 北海道 札幌市北区 北二十一条西
001-0022 北海道 札幌市北区 北二十二条西
001-0023 北海道 札幌市北区 北二十三条西
001-0024 北海道 札幌市北区 北二十四条西
001-0025 北海道 札幌市北区 北二十五条西
001-0026 北海道 札幌市北区 北二十六条西
001-0027 北海道 札幌市北区 北二十七条西
001-0028 北海道 札幌市北区 北二十八条西
001-0029 北海道 札幌市北区 北二十九条西
001-0030 北海道 札幌市北区 北三十条西
001-0031 北海道 札幌市北区 北三十一条西
001-0032 北海道 札幌市北区 北三十二条西
001-0033 北海道 札幌市北区 北三十三条西
001-0034 北海道 札幌市北区 北三十四条西
001-0035 北海道 札幌市北区 北三十五条西
001-0036 北海道 札幌市北区 北三十六条西
001-0037 北海道 札幌市北区 北三十七条西
001-0038 北海道 札幌市北区 北三十八条西
001-0039 北海道 札幌市北区 北三十九条西
001-0040 北海道 札幌市北区 北四十条西
001-0045 北海道 札幌市北区 麻生町
001-0901 北海道 札幌市北区 新琴似一条
001-0902 北海道 札幌市北区 新琴似二条
001-0903 北海道 札幌市北区 新琴似三条
001-0904 北海道 札幌市北区 新琴似四条
001-0905 北海道 札幌市北区 新琴似五条
001-0906 北海道 札幌市北区 新琴似六条
001-0907 北海道 札幌市北区 新琴似七条
001-0908 北海道 札幌市北区 新琴似八条
001-0909 北海道 札幌市北区 新琴似九条
001-0910 北海道 札幌市北区 新琴似十条
001-0911 北海道 札幌市北区 新琴似十一条
001-0912 北海道 札幌市北区 新琴似十二条
001-0915 北海道 札幌市北区 新琴似町
001-0921 北海道 札幌市北区 新川一条
001-0922 北海道 札幌市北区 新川二条
001-0923 北海道 札幌市北区 新川三条
001-0924 北海道 札幌市北区 新川四条
001-0925 北海道 札幌市北区 新川五条
001-0926 北海道 札幌市北区 新川六条
001-0927 北海道 札幌市北区 新川七条
001-0928 北海道 札幌市北区 新川八条
001-0930 北海道 札幌市北区 新川
001-0931 北海道 札幌市北区 新川西一条
001-0932 北海道 札幌市北区 新川西二条
001-0933 北海道 札幌市北区 新川西三条
001-0934 北海道 札幌市北区 新川西四条
001-0935 北海道 札幌市北区 新川西五条
001-8501 北海道 札幌市北区 北二十九条西
001-8521 北海道 札幌市北区 北十条西
001-8588 北海道 札幌市北区 北二十二条西
001-8612 北海道 札幌市北区 北二十四条西
002-0851 北海道 札幌市北区 屯田一条
002-0852 北海道 札幌市北区 屯田二条
002-0853 北海道 札幌市北区 屯田三条
002-0854 北海道 札幌市北区 屯田四条
002-0855 北海道 札幌市北区 屯田五条
002-0856 北海道 札幌市北区 屯田六条
002-0857 北海道 札幌市北区 屯田七条
002-0858 北海道 札幌市北区 屯田八条
002-0859 北海道 札幌市北区 屯田九条
002-0860 北海道 札幌市北区 屯田十条
002-0861 北海道 札幌市北区 屯田十一条
002-0865 北海道 札幌市北区 屯田町
002-8001 北海道 札幌市北区 太平一条
002-8002 北海道 札幌市北区 太平二条
002-8003 北海道 札幌市北区 太平三条
002-8004 北海道 札幌市北区 太平四条
002-8005 北海道 札幌市北区 太平五条
002-8006 北海道 札幌市北区 太平六条
002-8007 北海道 札幌市北区 太平七条
002-8008 北海道 札幌市北区 太平八条
002-8009 北海道 札幌市北区 太平九条
002-8010 北海道 札幌市北区 太平十条
002-8011 北海道 札幌市北区 太平十一条
002-8012 北海道 札幌市北区 太平十二条
002-8021 北海道 札幌市北区 篠路一条
002-8022 北海道 札幌市北区 篠路二条
002-8023 北海道 札幌市北区 篠路三条
002-8024 北海道 札幌市北区 篠路四条
002-8025 北海道 札幌市北区 篠路五条
002-8026 北海道 札幌市北区 篠路六条
002-8027 北海道 札幌市北区 篠路七条
002-8028 北海道 札幌市北区 篠路八条
002-8029 北海道 札幌市北区 篠路九条
002-8030 北海道 札幌市北区 篠路十条
002-8031 北海道 札幌市北区 西茨戸一条
002-8032 北海道 札幌市北区 西茨戸二条
002-8033 北海道 札幌市北区 西茨戸三条
002-8034 北海道 札幌市北区 西茨戸四条
002-8035 北海道 札幌市北区 西茨戸五条
002-8036 北海道 札幌市北区 西茨戸六条
002-8037 北海道 札幌市北区 西茨戸七条
002-8038 北海道 札幌市北区 西茨戸
002-8041 北海道 札幌市北区 東茨戸一条
002-8042 北海道 札幌市北区 東茨戸二条
002-8043 北海道 札幌市北区 東茨戸
002-8051 北海道 札幌市北区 篠路町太平
002-8052 北海道 札幌市北区 篠路町上篠路

002-8053 北海道 札幌市北区 篠路町篠路
002-8054 北海道 札幌市北区 篠路町拓北
002-8055 北海道 札幌市北区 篠路町福移
002-8061 北海道 札幌市北区 拓北一条
002-8062 北海道 札幌市北区 拓北二条
002-8063 北海道 札幌市北区 拓北三条
002-8064 北海道 札幌市北区 拓北四条
002-8065 北海道 札幌市北区 拓北五条
002-8066 北海道 札幌市北区 拓北六条
002-8067 北海道 札幌市北区 拓北七条
002-8068 北海道 札幌市北区 拓北八条
002-8071 北海道 札幌市北区 あいの里一条
002-8072 北海道 札幌市北区 あいの里二条
002-8073 北海道 札幌市北区 あいの里三条
002-8074 北海道 札幌市北区 あいの里四条
002-8075 北海道 札幌市北区 あいの里五条
002-8081 北海道 札幌市北区 百合が原
002-8082 北海道 札幌市北区 百合が原公園
002-8089 北海道 石狩郡当別町 ビトエ
002-8091 北海道 札幌市北区 南あいの里
002-8501 北海道 札幌市北区 あいの里五条
002-8502 北海道 札幌市北区 あいの里五条
002-8503 北海道 札幌市北区 あいの里五条
002-8504 北海道 札幌市北区 屯田九条
003-0000 北海道 札幌市白石区 
