010-0000 秋田県 秋田市 
010-0001 秋田県 秋田市 中通
010-0002 秋田県 秋田市 東通仲町
010-0003 秋田県 秋田市 東通
010-0004 秋田県 秋田市 東通観音前
010-0005 秋田県 秋田市 東通明田
010-0006 秋田県 秋田市 東通館ノ越
010-0011 秋田県 秋田市 南通亀の町
010-0012 秋田県 秋田市 南通みその町
010-0013 秋田県 秋田市 南通築地
010-0014 秋田県 秋田市 南通宮田
010-0021 秋田県 秋田市 楢山登町
010-0022 秋田県 秋田市 楢山南中町
010-0023 秋田県 秋田市 楢山本町
010-0024 秋田県 秋田市 楢山南新町上丁
010-0025 秋田県 秋田市 楢山佐竹町
010-0026 秋田県 秋田市 楢山古川新町
010-0027 秋田県 秋田市 楢山南新町下丁
010-0028 秋田県 秋田市 楢山共和町
010-0029 秋田県 秋田市 楢山川口境
010-0031 秋田県 秋田市 楢山大元町
010-0032 秋田県 秋田市 楢山太田町
010-0033 秋田県 秋田市 楢山石塚町
010-0034 秋田県 秋田市 楢山
010-0035 秋田県 秋田市 楢山城南町
010-0036 秋田県 秋田市 楢山金照町
010-0037 秋田県 秋田市 楢山愛宕下
010-0038 秋田県 秋田市 楢山城南新町
010-0041 秋田県 秋田市 広面
010-0042 秋田県 秋田市 桜
010-0043 秋田県 秋田市 桜ガ丘
010-0044 秋田県 秋田市 横森
010-0051 秋田県 秋田市 下北手松崎
010-0052 秋田県 秋田市 下北手柳舘
010-0053 秋田県 秋田市 下北手寒川
010-0054 秋田県 秋田市 下北手宝川
010-0055 秋田県 秋田市 下北手通沢
010-0056 秋田県 秋田市 下北手黒川
010-0057 秋田県 秋田市 下北手梨平
010-0058 秋田県 秋田市 下北手桜
010-0059 秋田県 秋田市 桜台
010-0061 秋田県 秋田市 卸町
010-0062 秋田県 秋田市 牛島東
010-0063 秋田県 秋田市 牛島西
010-0064 秋田県 秋田市 牛島
010-0065 秋田県 秋田市 茨島
010-0066 秋田県 秋田市 牛島南
010-0101 秋田県 潟上市 天王
010-0101 秋田県 潟上市 天王
010-0101 秋田県 潟上市 天王
010-0101 秋田県 潟上市 天王
010-0111 秋田県 秋田市 金足岩瀬
010-0112 秋田県 秋田市 金足堀内
010-0113 秋田県 秋田市 金足浦山
010-0114 秋田県 秋田市 金足下刈
010-0115 秋田県 秋田市 金足大清水
010-0116 秋田県 秋田市 金足小泉
010-0121 秋田県 秋田市 金足黒川
010-0122 秋田県 秋田市 金足吉田
010-0123 秋田県 秋田市 金足片田
010-0124 秋田県 秋田市 金足鳰崎
010-0125 秋田県 秋田市 金足高岡
010-0126 秋田県 秋田市 金足追分
010-0131 秋田県 秋田市 上新城白山
010-0132 秋田県 秋田市 上新城小又
010-0133 秋田県 秋田市 上新城湯ノ里
010-0134 秋田県 秋田市 上新城道川
010-0135 秋田県 秋田市 上新城五十丁
010-0136 秋田県 秋田市 上新城中
010-0137 秋田県 秋田市 上新城石名坂
010-0138 秋田県 秋田市 上新城保多野
010-0141 秋田県 秋田市 下新城長岡
010-0142 秋田県 秋田市 下新城青崎
010-0143 秋田県 秋田市 下新城小友
010-0144 秋田県 秋田市 下新城岩城
010-0145 秋田県 秋田市 下新城笠岡
010-0146 秋田県 秋田市 下新城中野
010-0195 秋田県 秋田市 下新城中野
010-0201 秋田県 潟上市 天王
010-0202 秋田県 潟上市 天王大崎
010-0341 秋田県 男鹿市 船越
010-0342 秋田県 男鹿市 脇本脇本
010-0343 秋田県 男鹿市 脇本田谷沢
010-0344 秋田県 男鹿市 脇本富永
010-0345 秋田県 男鹿市 脇本浦田
010-0346 秋田県 男鹿市 脇本樽沢
010-0347 秋田県 男鹿市 脇本百川
010-0351 秋田県 男鹿市 五里合箱井
010-0352 秋田県 男鹿市 五里合琴川
010-0353 秋田県 男鹿市 五里合神谷
010-0354 秋田県 男鹿市 五里合中石
010-0355 秋田県 男鹿市 五里合鮪川
010-0400 秋田県 南秋田郡大潟村 
010-0401 秋田県 男鹿市 野石
010-0411 秋田県 男鹿市 福米沢
010-0412 秋田県 男鹿市 本内
010-0413 秋田県 男鹿市 松木沢
010-0421 秋田県 男鹿市 鵜木
010-0422 秋田県 男鹿市 角間崎
010-0423 秋田県 男鹿市 福川
010-0431 秋田県 男鹿市 払戸
010-0441 秋田県 南秋田郡大潟村 北
010-0442 秋田県 南秋田郡大潟村 東
010-0443 秋田県 南秋田郡大潟村 中央
010-0444 秋田県 南秋田郡大潟村 南
010-0445 秋田県 南秋田郡大潟村 西
010-0451 秋田県 南秋田郡大潟村 大潟
010-0452 秋田県 南秋田郡大潟村 方上
010-0453 秋田県 南秋田郡大潟村 方口
010-0454 秋田県 南秋田郡大潟村 中野
010-0455 秋田県 南秋田郡大潟村 西野
010-0456 秋田県 南秋田郡大潟村 東野
010-0492 秋田県 南秋田郡大潟村 西
010-0493 秋田県 男鹿市 角間崎
010-0494 秋田県 南秋田郡大潟村 中央
010-0500 秋田県 男鹿市 
010-0501 秋田県 男鹿市 船川港仁井山
010-0502 秋田県 男鹿市 船川港比詰
010-0503 秋田県 男鹿市 船川港金川
010-0511 秋田県 男鹿市 船川港船川
010-0521 秋田県 男鹿市 船川港南平沢
010-0522 秋田県 男鹿市 船川港増川
010-0523 秋田県 男鹿市 船川港女川
010-0531 秋田県 男鹿市 船川港台島
010-0532 秋田県 男鹿市 船川港椿
010-0533 秋田県 男鹿市 船川港双六
010-0534 秋田県 男鹿市 船川港小浜
010-0535 秋田県 男鹿市 船川港本山門前
010-0595 秋田県 男鹿市 船川港船川
010-0661 秋田県 男鹿市 男鹿中浜間口
010-0662 秋田県 男鹿市 男鹿中中間口
010-0663 秋田県 男鹿市 男鹿中滝川
010-0664 秋田県 男鹿市 男鹿中国有地内
010-0665 秋田県 男鹿市 男鹿中山町
010-0671 秋田県 男鹿市 戸賀加茂青砂
010-0672 秋田県 男鹿市 戸賀浜塩谷
010-0673 秋田県 男鹿市 戸賀塩浜
010-0674 秋田県 男鹿市 戸賀戸賀
010-0675 秋田県 男鹿市 北浦入道崎
010-0676 秋田県 男鹿市 北浦西黒沢
010-0681 秋田県 男鹿市 北浦相川
010-0682 秋田県 男鹿市 北浦表町
010-0683 秋田県 男鹿市 北浦北浦
010-0684 秋田県 男鹿市 北浦安全寺
010-0685 秋田県 男鹿市 北浦真山
010-0686 秋田県 男鹿市 北浦西水口
010-0687 秋田県 男鹿市 北浦湯本
010-0688 秋田県 男鹿市 北浦野村
010-0802 秋田県 秋田市 外旭川
010-0803 秋田県 秋田市 外旭川八柳
010-0804 秋田県 秋田市 外旭川八幡田
010-0811 秋田県 秋田市 泉釜ノ町
010-0812 秋田県 秋田市 泉三嶽根
010-0813 秋田県 秋田市 泉一ノ坪
010-0814 秋田県 秋田市 泉東町
010-0815 秋田県 秋田市 泉馬場
010-0816 秋田県 秋田市 泉
010-0817 秋田県 秋田市 泉菅野
010-0821 秋田県 秋田市 濁川
010-0822 秋田県 秋田市 添川
010-0823 秋田県 秋田市 山内
010-0824 秋田県 秋田市 仁別
010-0825 秋田県 秋田市 柳田
010-0826 秋田県 秋田市 新藤田
010-0831 秋田県 秋田市 旭川清澄町
010-0832 秋田県 秋田市 旭川新藤田西町
010-0833 秋田県 秋田市 旭川新藤田東町
010-0834 秋田県 秋田市 旭川南町
010-0841 秋田県 秋田市 手形山西町
010-0842 秋田県 秋田市 手形山北町
010-0843 秋田県 秋田市 手形山東町
010-0844 秋田県 秋田市 手形山中町
010-0845 秋田県 秋田市 手形山南町
010-0851 秋田県 秋田市 手形
010-0852 秋田県 秋田市 手形学園町
010-0853 秋田県 秋田市 蛇野
010-0854 秋田県 秋田市 手形山崎町
010-0861 秋田県 秋田市 手形からみでん
010-0862 秋田県 秋田市 手形田中
010-0863 秋田県 秋田市 手形休下町
010-0864 秋田県 秋田市 手形住吉町
010-0865 秋田県 秋田市 手形新栄町
010-0871 秋田県 秋田市 千秋中島町
010-0872 秋田県 秋田市 千秋北の丸
010-0873 秋田県 秋田市 千秋城下町
010-0874 秋田県 秋田市 千秋久保田町
010-0875 秋田県 秋田市 千秋明徳町
010-0876 秋田県 秋田市 千秋公園
010-0877 秋田県 秋田市 千秋矢留町
010-0901 秋田県 秋田市 保戸野桜町
010-0902 秋田県 秋田市 保戸野金砂町
010-0903 秋田県 秋田市 保戸野八丁
010-0904 秋田県 秋田市 保戸野原の町
010-0905 秋田県 秋田市 保戸野中町
010-0911 秋田県 秋田市 保戸野すわ町
010-0912 秋田県 秋田市 保戸野通町
010-0913 秋田県 秋田市 保戸野鉄砲町
010-0914 秋田県 秋田市 保戸野千代田町
010-0915 秋田県 秋田市 保戸野
010-0916 秋田県 秋田市 泉北
010-0917 秋田県 秋田市 泉中央
010-0918 秋田県 秋田市 泉南
010-0921 秋田県 秋田市 大町
010-0922 秋田県 秋田市 旭北栄町
010-0923 秋田県 秋田市 旭北錦町
010-0924 秋田県 秋田市 旭北寺町
010-0925 秋田県 秋田市 旭南
010-0931 秋田県 秋田市 川元山下町
010-0932 秋田県 秋田市 川元開和町
010-0933 秋田県 秋田市 川元松丘町
010-0934 秋田県 秋田市 川元むつみ町
010-0935 秋田県 秋田市 川元小川町
010-0941 秋田県 秋田市 川尻町
010-0942 秋田県 秋田市 川尻大川町
010-0943 秋田県 秋田市 川尻御休町
010-0944 秋田県 秋田市 川尻若葉町
010-0945 秋田県 秋田市 川尻みよし町
010-0946 秋田県 秋田市 川尻総社町
010-0947 秋田県 秋田市 川尻上野町
010-0948 秋田県 秋田市 川尻新川町
010-0951 秋田県 秋田市 山王
010-0952 秋田県 秋田市 山王新町
010-0953 秋田県 秋田市 山王中園町
010-0954 秋田県 秋田市 山王沼田町
010-0955 秋田県 秋田市 山王中島町
010-0956 秋田県 秋田市 山王臨海町
010-0961 秋田県 秋田市 八橋イサノ
010-0962 秋田県 秋田市 八橋大畑
010-0963 秋田県 秋田市 八橋大沼町
010-0964 秋田県 秋田市 八橋鯲沼町
010-0965 秋田県 秋田市 八橋新川向
010-0966 秋田県 秋田市 高陽青柳町
010-0967 秋田県 秋田市 高陽幸町
010-0971 秋田県 秋田市 八橋三和町
010-0972 秋田県 秋田市 八橋田五郎
010-0973 秋田県 秋田市 八橋本町
010-0974 秋田県 秋田市 八橋運動公園
010-0975 秋田県 秋田市 八橋
010-0976 秋田県 秋田市 八橋南
010-0977 秋田県 秋田市 八橋大道東
010-1101 秋田県 秋田市 太平八田
010-1102 秋田県 秋田市 太平目長崎
010-1103 秋田県 秋田市 太平中関
010-1104 秋田県 秋田市 太平寺庭
010-1105 秋田県 秋田市 太平黒沢
010-1106 秋田県 秋田市 太平山谷
010-1201 秋田県 秋田市 雄和田草川
010-1202 秋田県 秋田市 雄和芝野新田
010-1203 秋田県 秋田市 雄和下黒瀬
010-1211 秋田県 秋田市 雄和椿川
010-1212 秋田県 秋田市 雄和平尾鳥
010-1221 秋田県 秋田市 雄和平沢
010-1222 秋田県 秋田市 雄和石田
010-1223 秋田県 秋田市 雄和妙法
010-1224 秋田県 秋田市 雄和種沢
010-1225 秋田県 秋田市 雄和左手子
010-1231 秋田県 秋田市 雄和相川
010-1232 秋田県 秋田市 雄和戸賀沢
010-1233 秋田県 秋田市 雄和女米木
010-1292 秋田県 秋田市 雄和椿川
010-1341 秋田県 秋田市 雄和新波
010-1342 秋田県 秋田市 雄和神ケ村
010-1343 秋田県 秋田市 雄和繋
010-1344 秋田県 秋田市 雄和向野
010-1351 秋田県 秋田市 雄和碇田
010-1352 秋田県 秋田市 雄和萱ケ沢
010-1401 秋田県 秋田市 上北手大杉沢
010-1402 秋田県 秋田市 上北手小山田
010-1403 秋田県 秋田市 上北手荒巻
010-1404 秋田県 秋田市 上北手古野
010-1405 秋田県 秋田市 上北手大山田
010-1406 秋田県 秋田市 上北手猿田
010-1407 秋田県 秋田市 上北手百崎
010-1408 秋田県 秋田市 上北手大戸
010-1411 秋田県 秋田市 上北手御所野
010-1412 秋田県 秋田市 御所野下堤
010-1413 秋田県 秋田市 御所野地蔵田
010-1414 秋田県 秋田市 御所野元町
010-1415 秋田県 秋田市 御所野湯本
010-1416 秋田県 秋田市 四ツ小屋末戸松本
010-1417 秋田県 秋田市 四ツ小屋
010-1418 秋田県 秋田市 四ツ小屋小阿地
010-1419 秋田県 秋田市 御所野堤台
010-1421 秋田県 秋田市 仁井田本町
010-1422 秋田県 秋田市 仁井田目長田
010-1423 秋田県 秋田市 仁井田
010-1424 秋田県 秋田市 御野場
010-1425 秋田県 秋田市 御野場新町
010-1426 秋田県 秋田市 仁井田小中島
010-1427 秋田県 秋田市 仁井田新田
010-1428 秋田県 秋田市 大平台
010-1429 秋田県 秋田市 山手台
010-1431 秋田県 秋田市 仁井田二ツ屋
010-1432 秋田県 秋田市 仁井田福島
010-1433 秋田県 秋田市 仁井田栄町
010-1434 秋田県 秋田市 仁井田蕗見町
010-1435 秋田県 秋田市 仁井田潟中町
010-1436 秋田県 秋田市 大住
010-1437 秋田県 秋田市 仁井田緑町
010-1492 秋田県 秋田市 上北手猿田
010-1493 秋田県 秋田市 上北手猿田
010-1494 秋田県 秋田市 御所野地蔵田
010-1501 秋田県 秋田市 下浜桂根
010-1502 秋田県 秋田市 下浜長浜
010-1503 秋田県 秋田市 下浜羽川
010-1504 秋田県 秋田市 下浜名ケ沢
010-1505 秋田県 秋田市 下浜八田
010-1506 秋田県 秋田市 下浜楢田
010-1601 秋田県 秋田市 向浜
010-1602 秋田県 秋田市 新屋下川原町
010-1603 秋田県 秋田市 新屋勝平台
010-1604 秋田県 秋田市 新屋松美町
010-1605 秋田県 秋田市 新屋勝平町
010-1606 秋田県 秋田市 新屋寿町
010-1607 秋田県 秋田市 新屋南浜町
010-1608 秋田県 秋田市 新屋北浜町
010-1611 秋田県 秋田市 新屋天秤野
010-1612 秋田県 秋田市 新屋豊町
010-1613 秋田県 秋田市 新屋朝日町
010-1614 秋田県 秋田市 新屋割山町
010-1615 秋田県 秋田市 新屋船場町
010-1616 秋田県 秋田市 新屋松美ガ丘南町
010-1617 秋田県 秋田市 新屋松美ガ丘東町
010-1618 秋田県 秋田市 新屋松美ガ丘北町
010-1621 秋田県 秋田市 新屋栗田町
010-1622 秋田県 秋田市 新屋日吉町
010-1623 秋田県 秋田市 新屋町
010-1631 秋田県 秋田市 新屋元町
010-1632 秋田県 秋田市 新屋大川町
010-1633 秋田県 秋田市 新屋鳥木町
010-1634 秋田県 秋田市 新屋沖田町
010-1635 秋田県 秋田市 新屋前野町
010-1636 秋田県 秋田市 新屋比内町
010-1637 秋田県 秋田市 新屋扇町
010-1638 秋田県 秋田市 新屋表町
010-1641 秋田県 秋田市 新屋高美町
010-1642 秋田県 秋田市 新屋渋谷町
010-1643 秋田県 秋田市 新屋田尻沢東町
010-1644 秋田県 秋田市 新屋田尻沢中町
010-1645 秋田県 秋田市 新屋田尻沢西町
010-1651 秋田県 秋田市 豊岩石田坂
010-1652 秋田県 秋田市 豊岩豊巻
010-1653 秋田県 秋田市 豊岩小山
010-1654 秋田県 秋田市 浜田
010-8501 秋田県 秋田市 東通仲町
010-8502 秋田県 秋田市 手形学園町
010-8504 秋田県 秋田市 山王
010-8505 秋田県 秋田市 中通
010-8506 秋田県 秋田市 東通仲町
010-8507 秋田県 秋田市 川元山下町
010-8511 秋田県 秋田市 卸町
010-8515 秋田県 秋田市 下北手桜
010-8518 秋田県 秋田市 南通築地
010-8520 秋田県 秋田市 楢山登町
010-8522 秋田県 秋田市 中通
010-8525 秋田県 秋田市 下北手桜
010-8530 秋田県 秋田市 中通
010-8533 秋田県 秋田市 南通みその町
010-8543 秋田県 秋田市 広面
010-8550 秋田県 秋田市 中通
010-8555 秋田県 秋田市 保戸野鉄砲町
010-8558 秋田県 秋田市 八橋南
010-8560 秋田県 秋田市 山王
010-8564 秋田県 秋田市 大町
010-8565 秋田県 秋田市 保戸野鉄砲町
010-8566 秋田県 秋田市 中通
010-8570 秋田県 秋田市 山王
010-8572 秋田県 秋田市 山王
010-8574 秋田県 秋田市 中通
010-8577 秋田県 秋田市 南通みその町
010-8580 秋田県 秋田市 山王
010-8585 秋田県 秋田市 茨島
010-8588 秋田県 秋田市 中通
010-8601 秋田県 秋田市 山王臨海町
010-8611 秋田県 秋田市 山王
010-8621 秋田県 秋田市 大町
010-8622 秋田県 秋田市 中通
010-8633 秋田県 秋田市 中通
010-8655 秋田県 秋田市 山王
010-8668 秋田県 秋田市 八橋本町
010-8677 秋田県 秋田市 中通
010-8678 秋田県 秋田市 川尻町
010-8794 秋田県 秋田市 中通
011-0901 秋田県 秋田市 寺内
011-0902 秋田県 秋田市 寺内堂ノ沢
011-0903 秋田県 秋田市 寺内油田
011-0904 秋田県 秋田市 寺内蛭根
011-0905 秋田県 秋田市 寺内神屋敷
011-0906 秋田県 秋田市 寺内後城
011-0907 秋田県 秋田市 寺内焼山
011-0908 秋田県 秋田市 寺内大小路
011-0909 秋田県 秋田市 寺内児桜
011-0911 秋田県 秋田市 飯島
011-0912 秋田県 秋田市 飯島川端
011-0913 秋田県 秋田市 飯島鼠田
011-0914 秋田県 秋田市 飯島美砂町
011-0915 秋田県 秋田市 飯島緑丘町
011-0916 秋田県 秋田市 飯島穀丁
011-0917 秋田県 秋田市 飯島道東
011-0921 秋田県 秋田市 飯島松根西町
011-0922 秋田県 秋田市 飯島松根東町
011-0923 秋田県 秋田市 飯島文京町
011-0924 秋田県 秋田市 飯島長野本町
011-0925 秋田県 秋田市 飯島長野中町
011-0926 秋田県 秋田市 港北松野町
011-0927 秋田県 秋田市 港北新町
011-0928 秋田県 秋田市 飯島長野上町
011-0931 秋田県 秋田市 将軍野東
011-0932 秋田県 秋田市 将軍野青山町
011-0933 秋田県 秋田市 将軍野堰越
011-0934 秋田県 秋田市 将軍野桂町
011-0935 秋田県 秋田市 将軍野向山
011-0936 秋田県 秋田市 将軍野南
011-0937 秋田県 秋田市 寺内高野
011-0938 秋田県 秋田市 寺内鵜ノ木
011-0939 秋田県 秋田市 寺内大畑
011-0941 秋田県 秋田市 土崎港北
011-0942 秋田県 秋田市 土崎港東
011-0943 秋田県 秋田市 土崎港南
011-0944 秋田県 秋田市 土崎港穀保町
011-0945 秋田県 秋田市 土崎港西
011-0946 秋田県 秋田市 土崎港中央
