020-0000 岩手県 盛岡市 
020-0001 岩手県 盛岡市 上米内
020-0002 岩手県 盛岡市 桜台
020-0003 岩手県 盛岡市 下米内
020-0004 岩手県 盛岡市 山岸
020-0005 岩手県 盛岡市 紅葉が丘
020-0011 岩手県 盛岡市 三ツ割
020-0012 岩手県 盛岡市 岩清水
020-0013 岩手県 盛岡市 愛宕町
020-0014 岩手県 盛岡市 愛宕下
020-0015 岩手県 盛岡市 本町通
020-0016 岩手県 盛岡市 名須川町
020-0021 岩手県 盛岡市 中央通
020-0022 岩手県 盛岡市 大通
020-0023 岩手県 盛岡市 内丸
020-0024 岩手県 盛岡市 菜園
020-0025 岩手県 盛岡市 大沢川原
020-0026 岩手県 盛岡市 開運橋通
020-0031 岩手県 盛岡市 北夕顔瀬町
020-0032 岩手県 盛岡市 夕顔瀬町
020-0033 岩手県 盛岡市 盛岡駅前北通
020-0034 岩手県 盛岡市 盛岡駅前通
020-0041 岩手県 盛岡市 境田町
020-0042 岩手県 盛岡市 新田町
020-0043 岩手県 盛岡市 中川町
020-0044 岩手県 盛岡市 城西町
020-0045 岩手県 盛岡市 盛岡駅西通
020-0051 岩手県 盛岡市 下太田
020-0052 岩手県 盛岡市 中太田
020-0053 岩手県 盛岡市 上太田
020-0054 岩手県 盛岡市 猪去
020-0055 岩手県 盛岡市 繋
020-0061 岩手県 盛岡市 北山
020-0062 岩手県 盛岡市 長田町
020-0063 岩手県 盛岡市 材木町
020-0064 岩手県 盛岡市 梨木町
020-0065 岩手県 盛岡市 西下台町
020-0066 岩手県 盛岡市 上田
020-0066 岩手県 盛岡市 上田
020-0066 岩手県 盛岡市 上田
020-0066 岩手県 盛岡市 上田
020-0066 岩手県 盛岡市 上田
020-0100 岩手県 岩手郡滝沢村 
020-0101 岩手県 盛岡市 岩脇町
020-0102 岩手県 盛岡市 上田
020-0103 岩手県 盛岡市 西松園
020-0104 岩手県 盛岡市 小鳥沢
020-0105 岩手県 盛岡市 北松園
020-0106 岩手県 盛岡市 東松園
020-0107 岩手県 盛岡市 松園
020-0108 岩手県 盛岡市 東黒石野
020-0111 岩手県 盛岡市 黒石野
020-0112 岩手県 盛岡市 東緑が丘
020-0113 岩手県 盛岡市 上田堤
020-0114 岩手県 盛岡市 高松
020-0115 岩手県 盛岡市 館向町
020-0116 岩手県 盛岡市 箱清水
020-0117 岩手県 盛岡市 緑が丘
020-0121 岩手県 盛岡市 月が丘
020-0122 岩手県 盛岡市 みたけ
020-0123 岩手県 盛岡市 下厨川
020-0124 岩手県 盛岡市 厨川
020-0125 岩手県 盛岡市 上堂
020-0126 岩手県 盛岡市 安倍館町
020-0127 岩手県 盛岡市 前九年
020-0131 岩手県 盛岡市 中堤町
020-0132 岩手県 盛岡市 西青山
020-0133 岩手県 盛岡市 青山
020-0134 岩手県 盛岡市 南青山町
020-0135 岩手県 盛岡市 大新町
020-0136 岩手県 盛岡市 北天昌寺町
020-0137 岩手県 盛岡市 天昌寺町
020-0141 岩手県 盛岡市 中屋敷町
020-0142 岩手県 盛岡市 稲荷町
020-0143 岩手県 盛岡市 上厨川
020-0144 岩手県 盛岡市 土淵
020-0145 岩手県 盛岡市 平賀新田
020-0146 岩手県 盛岡市 長橋町
020-0147 岩手県 盛岡市 大館町
020-0148 岩手県 盛岡市 前潟
020-0151 岩手県 岩手郡滝沢村 大釜
020-0161 岩手県 岩手郡滝沢村 篠木
020-0171 岩手県 岩手郡滝沢村 大沢
020-0172 岩手県 岩手郡滝沢村 鵜飼
020-0173 岩手県 岩手郡滝沢村 滝沢
020-0180 岩手県 岩手郡滝沢村 滝沢
020-0181 岩手県 岩手郡滝沢村 滝沢
020-0182 岩手県 盛岡市 みたけ
020-0183 岩手県 岩手郡滝沢村 滝沢
020-0184 岩手県 盛岡市 青山
020-0185 岩手県 盛岡市 上堂
020-0187 岩手県 盛岡市 みたけ
020-0188 岩手県 岩手郡滝沢村 滝沢
020-0192 岩手県 岩手郡滝沢村 鵜飼
020-0193 岩手県 岩手郡滝沢村 滝沢
020-0196 岩手県 盛岡市 みたけ
020-0198 岩手県 盛岡市 下厨川
020-0201 岩手県 盛岡市 玉山区日戸
020-0202 岩手県 盛岡市 玉山区玉山
020-0203 岩手県 盛岡市 玉山区川又
020-0204 岩手県 盛岡市 玉山区上田
020-0311 岩手県 盛岡市 簗川
020-0312 岩手県 盛岡市 砂子沢
020-0313 岩手県 盛岡市 根田茂
020-0401 岩手県 盛岡市 手代森
020-0402 岩手県 盛岡市 黒川
020-0403 岩手県 盛岡市 乙部
020-0404 岩手県 盛岡市 大ケ生
020-0493 岩手県 盛岡市 乙部
020-0495 岩手県 盛岡市 黒川
020-0496 岩手県 盛岡市 乙部
020-0500 岩手県 岩手郡雫石町 
020-0501 岩手県 岩手郡雫石町 仁佐瀬
020-0502 岩手県 岩手郡雫石町 板橋
020-0503 岩手県 岩手郡雫石町 七ツ森
020-0504 岩手県 岩手郡雫石町 中沼
020-0505 岩手県 岩手郡雫石町 中黒沢川
020-0506 岩手県 岩手郡雫石町 沼返
020-0507 岩手県 岩手郡雫石町 丸谷地
020-0511 岩手県 岩手郡雫石町 長畑
020-0512 岩手県 岩手郡雫石町 塩ケ森
020-0513 岩手県 岩手郡雫石町 下兎野
020-0514 岩手県 岩手郡雫石町 野中
020-0515 岩手県 岩手郡雫石町 下長根
020-0517 岩手県 岩手郡雫石町 黒沢川
020-0520 岩手県 岩手郡雫石町 下町東
020-0521 岩手県 岩手郡雫石町 麁津田
020-0522 岩手県 岩手郡雫石町 下久保
020-0523 岩手県 岩手郡雫石町 根堀
020-0524 岩手県 岩手郡雫石町 寺の下
020-0525 岩手県 岩手郡雫石町 源大堂
020-0527 岩手県 岩手郡雫石町 中町
020-0528 岩手県 岩手郡雫石町 下町
020-0529 岩手県 岩手郡雫石町 下町西
020-0530 岩手県 岩手郡雫石町 上町南
020-0531 岩手県 岩手郡雫石町 麻見田
020-0532 岩手県 岩手郡雫石町 払川
020-0533 岩手県 岩手郡雫石町 林
020-0534 岩手県 岩手郡雫石町 川原
020-0535 岩手県 岩手郡雫石町 小日谷地
020-0536 岩手県 岩手郡雫石町 八卦
020-0537 岩手県 岩手郡雫石町 上町西
020-0538 岩手県 岩手郡雫石町 上町北
020-0539 岩手県 岩手郡雫石町 上町東
020-0541 岩手県 岩手郡雫石町 千刈田
020-0542 岩手県 岩手郡雫石町 万田渡
020-0543 岩手県 岩手郡雫石町 高前田
020-0544 岩手県 岩手郡雫石町 柿木
020-0545 岩手県 岩手郡雫石町 谷地
020-0546 岩手県 岩手郡雫石町 稲荷下
020-0547 岩手県 岩手郡雫石町 晴山
020-0551 岩手県 岩手郡雫石町 笹森
020-0552 岩手県 岩手郡雫石町 下平
020-0553 岩手県 岩手郡雫石町 下曽根田
020-0554 岩手県 岩手郡雫石町 町裏
020-0555 岩手県 岩手郡雫石町 上曽根田
020-0556 岩手県 岩手郡雫石町 名子
020-0557 岩手県 岩手郡雫石町 上平
020-0558 岩手県 岩手郡雫石町 下笹森
020-0559 岩手県 岩手郡雫石町 上笹森
020-0571 岩手県 岩手郡雫石町 繋
020-0572 岩手県 岩手郡雫石町 西安庭
020-0573 岩手県 岩手郡雫石町 南畑
020-0574 岩手県 岩手郡雫石町 鴬宿
020-0581 岩手県 岩手郡雫石町 御明神
020-0582 岩手県 岩手郡雫石町 橋場
020-0583 岩手県 岩手郡雫石町 上野
020-0584 岩手県 岩手郡雫石町 西根
020-0585 岩手県 岩手郡雫石町 長山
020-0592 岩手県 岩手郡雫石町 町裏
020-0593 岩手県 岩手郡雫石町 
020-0595 岩手県 岩手郡雫石町 千刈田
020-0596 岩手県 岩手郡雫石町 板橋
020-0801 岩手県 盛岡市 浅岸
020-0802 岩手県 盛岡市 つつじが丘
020-0803 岩手県 盛岡市 新庄
020-0804 岩手県 盛岡市 東桜山
020-0805 岩手県 盛岡市 東新庄
020-0806 岩手県 盛岡市 新庄町
020-0807 岩手県 盛岡市 加賀野
020-0811 岩手県 盛岡市 川目町
020-0812 岩手県 盛岡市 川目
020-0813 岩手県 盛岡市 東山
020-0814 岩手県 盛岡市 東中野町
