040-0000 北海道 函館市 
040-0001 北海道 函館市 五稜郭町
040-0002 北海道 函館市 柳町
040-0003 北海道 函館市 松陰町
040-0004 北海道 函館市 杉並町
040-0005 北海道 函館市 人見町
040-0011 北海道 函館市 本町
040-0012 北海道 函館市 時任町
040-0013 北海道 函館市 千代台町
040-0014 北海道 函館市 中島町
040-0015 北海道 函館市 梁川町
040-0021 北海道 函館市 的場町
040-0022 北海道 函館市 日乃出町
040-0023 北海道 函館市 宇賀浦町
040-0024 北海道 函館市 高盛町
040-0025 北海道 函館市 堀川町
040-0031 北海道 函館市 上新川町
040-0032 北海道 函館市 新川町
040-0033 北海道 函館市 千歳町
040-0034 北海道 函館市 大森町
040-0035 北海道 函館市 松風町
040-0036 北海道 函館市 東雲町
040-0037 北海道 函館市 旭町
040-0041 北海道 函館市 栄町
040-0042 北海道 函館市 東川町
040-0043 北海道 函館市 宝来町
040-0044 北海道 函館市 青柳町
040-0045 北海道 函館市 住吉町
040-0046 北海道 函館市 谷地頭町
040-0051 北海道 函館市 弁天町
040-0052 北海道 函館市 大町
040-0053 北海道 函館市 末広町
040-0054 北海道 函館市 元町
040-0055 北海道 函館市 船見町
040-0056 北海道 函館市 弥生町
040-0057 北海道 函館市 入舟町
040-0061 北海道 函館市 海岸町
040-0062 北海道 函館市 大縄町
040-0063 北海道 函館市 若松町
040-0064 北海道 函館市 大手町
040-0065 北海道 函館市 豊川町
040-0071 北海道 函館市 追分町
040-0072 北海道 函館市 亀田町
040-0073 北海道 函館市 宮前町
040-0074 北海道 函館市 松川町
040-0075 北海道 函館市 万代町
040-0076 北海道 函館市 浅野町
040-0077 北海道 函館市 吉川町
040-0078 北海道 函館市 北浜町
040-0081 北海道 函館市 田家町
040-0082 北海道 函館市 白鳥町
040-0083 北海道 函館市 八幡町
040-0084 北海道 函館市 大川町
040-8501 北海道 函館市 大川町
040-8502 北海道 函館市 東雲町
040-8510 北海道 函館市 時任町
040-8511 北海道 函館市 五稜郭町
040-8512 北海道 函館市 若松町
040-8520 北海道 函館市 本町
040-8522 北海道 函館市 東雲町
040-8530 北海道 函館市 豊川町
040-8533 北海道 函館市 新川町
040-8541 北海道 函館市 末広町
040-8543 北海道 函館市 杉並町
040-8550 北海道 函館市 新川町
040-8551 北海道 函館市 杉並町
040-8552 北海道 函館市 中島町
040-8555 北海道 函館市 千代台町
040-8558 北海道 函館市 若松町
040-8560 北海道 函館市 本町
040-8561 北海道 函館市 海岸町
040-8566 北海道 函館市 五稜郭町
040-8567 北海道 函館市 八幡町
040-8577 北海道 函館市 中島町
040-8580 北海道 函館市 梁川町
040-8581 北海道 函館市 万代町
040-8585 北海道 函館市 本町
040-8588 北海道 函館市 梁川町
040-8601 北海道 函館市 上新川町
040-8602 北海道 函館市 上新川町
040-8603 北海道 函館市 上新川町
040-8605 北海道 函館市 弁天町
040-8609 北海道 函館市 新川町
040-8610 北海道 函館市 梁川町
040-8611 北海道 函館市 五稜郭町
040-8616 北海道 函館市 梁川町
040-8631 北海道 函館市 堀川町
040-8632 北海道 函館市 末広町
040-8640 北海道 函館市 海岸町
040-8642 北海道 函館市 大町
040-8655 北海道 函館市 大手町
040-8660 北海道 函館市 大手町
040-8666 北海道 函館市 東雲町
040-8668 北海道 函館市 本町
040-8670 北海道 函館市 千歳町
040-8677 北海道 函館市 梁川町
040-8680 北海道 函館市 千歳町
040-8686 北海道 函館市 若松町
040-8688 北海道 函館市 五稜郭町
040-8710 北海道 函館市 東雲町
040-8717 北海道 函館市 若松町
040-8720 北海道 函館市 大手町
040-8727 北海道 函館市 若松町
041-0251 北海道 函館市 小安町
041-0252 北海道 函館市 釜谷町
041-0253 北海道 函館市 小安山町
041-0261 北海道 函館市 石崎町
041-0262 北海道 函館市 古川町
041-0263 北海道 函館市 豊原町
041-0264 北海道 函館市 鶴野町
041-0265 北海道 函館市 白石町
041-0301 北海道 函館市 汐首町
041-0302 北海道 函館市 瀬田来町
041-0303 北海道 函館市 弁才町
041-0304 北海道 函館市 泊町
041-0305 北海道 函館市 館町
041-0306 北海道 函館市 丸山町
041-0311 北海道 函館市 浜町
041-0312 北海道 函館市 新二見町
041-0313 北海道 函館市 原木町
041-0401 北海道 函館市 日浦町
041-0402 北海道 函館市 豊浦町
041-0403 北海道 函館市 大澗町
041-0404 北海道 函館市 中浜町
041-0405 北海道 函館市 川上町
041-0406 北海道 函館市 女那川町
041-0407 北海道 函館市 日和山町
041-0408 北海道 函館市 吉畑町
041-0521 北海道 函館市 御崎町
041-0522 北海道 函館市 恵山町
041-0523 北海道 函館市 柏野町
041-0524 北海道 函館市 古武井町
041-0525 北海道 函館市 日ノ浜町
041-0526 北海道 函館市 高岱町
041-0601 北海道 函館市 新八幡町
041-0602 北海道 函館市 島泊町
041-0603 北海道 函館市 富浦町
041-0604 北海道 函館市 元村町
041-0605 北海道 函館市 恵山岬町
041-0606 北海道 函館市 新恵山町
041-0611 北海道 函館市 新浜町
041-0612 北海道 函館市 銚子町
041-0613 北海道 函館市 絵紙山町
041-0801 北海道 函館市 桔梗町
041-0802 北海道 函館市 石川町
041-0803 北海道 函館市 亀田中野町
041-0804 北海道 函館市 赤川町
041-0805 北海道 函館市 赤川
041-0806 北海道 函館市 美原
041-0807 北海道 函館市 北美原
041-0808 北海道 函館市 桔梗
041-0811 北海道 函館市 富岡町
041-0812 北海道 函館市 昭和
041-0813 北海道 函館市 亀田本町
041-0821 北海道 函館市 港町
041-0822 北海道 函館市 亀田港町
041-0823 北海道 函館市 昭和町
041-0824 北海道 函館市 西桔梗町
041-0831 北海道 函館市 神山町
041-0832 北海道 函館市 神山
041-0833 北海道 函館市 陣川町
041-0834 北海道 函館市 東山町
041-0835 北海道 函館市 東山
041-0836 北海道 函館市 山の手
041-0837 北海道 函館市 陣川
041-0841 北海道 函館市 日吉町
041-0842 北海道 函館市 滝沢町
041-0843 北海道 函館市 花園町
041-0844 北海道 函館市 川原町
041-0851 北海道 函館市 本通
041-0852 北海道 函館市 鍛治
041-0853 北海道 函館市 中道
041-1100 北海道 亀田郡七飯町 
041-1101 北海道 亀田郡七飯町 仁山
041-1102 北海道 亀田郡七飯町 峠下
041-1103 北海道 亀田郡七飯町 藤城
041-1104 北海道 亀田郡七飯町 上藤城
041-1105 北海道 亀田郡七飯町 桜町
041-1111 北海道 亀田郡七飯町 本町
041-1112 北海道 亀田郡七飯町 鳴川
041-1112 北海道 亀田郡七飯町 鳴川町
041-1121 北海道 亀田郡七飯町 大中山
041-1122 北海道 亀田郡七飯町 大川
041-1131 北海道 亀田郡七飯町 中野
041-1132 北海道 亀田郡七飯町 豊田
041-1133 北海道 亀田郡七飯町 中島
041-1134 北海道 亀田郡七飯町 鶴野
041-1135 北海道 亀田郡七飯町 緑町
041-1136 北海道 亀田郡七飯町 飯田町
041-1192 北海道 亀田郡七飯町 本町
041-1193 北海道 亀田郡七飯町 本町
041-1194 北海道 亀田郡七飯町 本町
041-1195 北海道 亀田郡七飯町 本町
041-1196 北海道 亀田郡七飯町 中島
041-1201 北海道 北斗市 本町
041-1211 北海道 北斗市 白川
041-1212 北海道 北斗市 細入
041-1213 北海道 北斗市 開発
041-1214 北海道 北斗市 東前
041-1215 北海道 北斗市 萩野
041-1221 北海道 北斗市 清水川
041-1222 北海道 北斗市 千代田
041-1223 北海道 北斗市 一本木
041-1224 北海道 北斗市 南大野
041-1225 北海道 北斗市 文月
041-1226 北海道 北斗市 村内
041-1231 北海道 北斗市 向野
041-1241 北海道 北斗市 稲里
041-1242 北海道 北斗市 市渡
041-1243 北海道 北斗市 中山
041-1244 北海道 北斗市 村山
041-1251 北海道 北斗市 本郷
041-1351 北海道 亀田郡七飯町 東大沼
041-1352 北海道 亀田郡七飯町 軍川
041-1353 北海道 亀田郡七飯町 上軍川
041-1354 北海道 亀田郡七飯町 大沼町
041-1355 北海道 亀田郡七飯町 西大沼
041-1392 北海道 亀田郡七飯町 西大沼
041-1400 北海道 茅部郡鹿部町 
041-1401 北海道 茅部郡鹿部町 大岩
041-1402 北海道 茅部郡鹿部町 鹿部
041-1403 北海道 茅部郡鹿部町 宮浜
041-1404 北海道 茅部郡鹿部町 本別
041-1405 北海道 茅部郡鹿部町 駒見
041-1496 北海道 茅部郡鹿部町 本別
041-1497 北海道 茅部郡鹿部町 本別
041-1498 北海道 茅部郡鹿部町 宮浜
041-1601 北海道 函館市 古部町
041-1602 北海道 函館市 木直町
041-1603 北海道 函館市 尾札部町
041-1611 北海道 函館市 川汲町
041-1612 北海道 函館市 安浦町
041-1613 北海道 函館市 臼尻町
041-1621 北海道 函館市 豊崎町
041-1622 北海道 函館市 大船町
041-1623 北海道 函館市 双見町
041-1624 北海道 函館市 岩戸町
041-1692 北海道 函館市 川汲町
041-8501 北海道 函館市 美原
041-8510 北海道 函館市 西桔梗町
