050-0000 北海道 室蘭市 
050-0051 北海道 室蘭市 石川町
050-0052 北海道 室蘭市 香川町
050-0053 北海道 室蘭市 神代町
050-0054 北海道 室蘭市 白鳥台
050-0055 北海道 室蘭市 崎守町
050-0061 北海道 室蘭市 八丁平
050-0062 北海道 室蘭市 高平町
050-0063 北海道 室蘭市 港北町
050-0064 北海道 室蘭市 柏木町
050-0065 北海道 室蘭市 本輪西町
050-0066 北海道 室蘭市 幌萌町
050-0067 北海道 室蘭市 陣屋町
050-0071 北海道 室蘭市 水元町
050-0072 北海道 室蘭市 高砂町
050-0073 北海道 室蘭市 宮の森町
050-0074 北海道 室蘭市 中島町
050-0075 北海道 室蘭市 中島本町
050-0076 北海道 室蘭市 知利別町
050-0077 北海道 室蘭市 天神町
050-0081 北海道 室蘭市 日の出町
050-0082 北海道 室蘭市 寿町
050-0083 北海道 室蘭市 東町
050-0084 北海道 室蘭市 みゆき町
050-0085 北海道 室蘭市 輪西町
050-0086 北海道 室蘭市 大沢町
050-0087 北海道 室蘭市 仲町
050-8510 北海道 室蘭市 仲町
050-8511 北海道 室蘭市 東町
050-8518 北海道 室蘭市 中島町
050-8550 北海道 室蘭市 仲町
050-8555 北海道 室蘭市 中島町
050-8570 北海道 室蘭市 崎守町
050-8582 北海道 室蘭市 寿町
050-8585 北海道 室蘭市 水元町
050-8588 北海道 室蘭市 日の出町
051-0001 北海道 室蘭市 御崎町
051-0002 北海道 室蘭市 御前水町
051-0003 北海道 室蘭市 母恋南町
051-0004 北海道 室蘭市 母恋北町
051-0005 北海道 室蘭市 新富町
051-0006 北海道 室蘭市 茶津町
051-0011 北海道 室蘭市 中央町
051-0012 北海道 室蘭市 山手町
051-0013 北海道 室蘭市 舟見町
051-0014 北海道 室蘭市 栄町
051-0015 北海道 室蘭市 本町
051-0016 北海道 室蘭市 幸町
051-0021 北海道 室蘭市 緑町
051-0022 北海道 室蘭市 海岸町
051-0023 北海道 室蘭市 入江町
051-0024 北海道 室蘭市 幕西町
051-0025 北海道 室蘭市 常盤町
051-0026 北海道 室蘭市 清水町
051-0027 北海道 室蘭市 沢町
051-0028 北海道 室蘭市 西小路町
051-0031 北海道 室蘭市 築地町
051-0032 北海道 室蘭市 港南町
051-0033 北海道 室蘭市 小橋内町
051-0034 北海道 室蘭市 増市町
051-0035 北海道 室蘭市 絵鞆町
051-0036 北海道 室蘭市 祝津町
051-8501 北海道 室蘭市 新富町
051-8505 北海道 室蘭市 茶津町
051-8511 北海道 室蘭市 幸町
051-8512 北海道 室蘭市 山手町
051-8524 北海道 室蘭市 入江町
051-8530 北海道 室蘭市 海岸町
051-8546 北海道 室蘭市 茶津町
051-8550 北海道 室蘭市 本町
051-8555 北海道 室蘭市 幸町
051-8558 北海道 室蘭市 幸町
051-8585 北海道 室蘭市 海岸町
051-8588 北海道 室蘭市 海岸町
051-8650 北海道 室蘭市 常盤町
051-8660 北海道 室蘭市 中央町
052-0000 北海道 伊達市 
052-0001 北海道 伊達市 喜門別町
052-0001 北海道 伊達市 志門気町
052-0002 北海道 伊達市 乾町
052-0003 北海道 伊達市 幌美内町
052-0004 北海道 伊達市 萩原町
052-0005 北海道 伊達市 清住町
052-0006 北海道 伊達市 東関内町
052-0007 北海道 伊達市 西関内町
052-0008 北海道 伊達市 上館山町
052-0011 北海道 伊達市 竹原町
052-0012 北海道 伊達市 松ケ枝町
052-0013 北海道 伊達市 弄月町
052-0014 北海道 伊達市 舟岡町
052-0015 北海道 伊達市 旭町
052-0016 北海道 伊達市 東浜町
052-0021 北海道 伊達市 末永町
052-0022 北海道 伊達市 梅本町
052-0023 北海道 伊達市 元町
052-0024 北海道 伊達市 鹿島町
052-0025 北海道 伊達市 網代町
052-0026 北海道 伊達市 錦町
052-0027 北海道 伊達市 大町
052-0031 北海道 伊達市 館山町
052-0032 北海道 伊達市 山下町
052-0033 北海道 伊達市 西浜町
052-0034 北海道 伊達市 館山下町
052-0035 北海道 伊達市 長和町
052-0036 北海道 伊達市 上長和町
052-0100 北海道 有珠郡壮瞥町 
052-0101 北海道 有珠郡壮瞥町 滝之町
052-0102 北海道 有珠郡壮瞥町 昭和新山
052-0103 北海道 有珠郡壮瞥町 壮瞥温泉
052-0104 北海道 有珠郡壮瞥町 東湖畔
052-0105 北海道 有珠郡壮瞥町 仲洞爺
052-0106 北海道 有珠郡壮瞥町 立香
052-0107 北海道 有珠郡壮瞥町 洞爺湖温泉
052-0111 北海道 有珠郡壮瞥町 上久保内
052-0112 北海道 有珠郡壮瞥町 久保内
052-0113 北海道 有珠郡壮瞥町 蟠渓
052-0114 北海道 有珠郡壮瞥町 幸内
052-0115 北海道 有珠郡壮瞥町 弁景
052-0116 北海道 有珠郡壮瞥町 南久保内
052-0301 北海道 伊達市 大滝区本町
052-0302 北海道 伊達市 大滝区清陵町
052-0303 北海道 伊達市 大滝区三階滝町
052-0311 北海道 伊達市 大滝区本郷町
052-0312 北海道 伊達市 大滝区上野町
052-0313 北海道 伊達市 大滝区大成町
052-0314 北海道 伊達市 大滝区円山町
052-0315 北海道 伊達市 大滝区昭園町
052-0316 北海道 伊達市 大滝区北湯沢温泉町
052-0317 北海道 伊達市 大滝区優徳町
052-8511 北海道 伊達市 末永町
052-8550 北海道 伊達市 弄月町
052-8585 北海道 伊達市 幌美内町
052-8586 北海道 伊達市 旭町
052-8650 北海道 伊達市 梅本町
052-8666 北海道 伊達市 末永町
052-8686 北海道 伊達市 鹿島町
053-0000 北海道 苫小牧市 
053-0001 北海道 苫小牧市 一本松町
053-0002 北海道 苫小牧市 晴海町
053-0003 北海道 苫小牧市 入船町
053-0004 北海道 苫小牧市 港町
053-0005 北海道 苫小牧市 元中野町
053-0006 北海道 苫小牧市 新中野町
053-0007 北海道 苫小牧市 船見町
053-0011 北海道 苫小牧市 末広町
053-0012 北海道 苫小牧市 汐見町
053-0013 北海道 苫小牧市 高砂町
053-0014 北海道 苫小牧市 浜町
053-0015 北海道 苫小牧市 本幸町
053-0016 北海道 苫小牧市 寿町
053-0017 北海道 苫小牧市 栄町
053-0018 北海道 苫小牧市 旭町
053-0021 北海道 苫小牧市 若草町
053-0022 北海道 苫小牧市 表町
053-0023 北海道 苫小牧市 錦町
053-0024 北海道 苫小牧市 大町
053-0025 北海道 苫小牧市 本町
053-0026 北海道 苫小牧市 幸町
053-0027 北海道 苫小牧市 王子町
053-0031 北海道 苫小牧市 春日町
053-0032 北海道 苫小牧市 緑町
053-0033 北海道 苫小牧市 木場町
053-0034 北海道 苫小牧市 清水町
053-0035 北海道 苫小牧市 高丘
053-0041 北海道 苫小牧市 美園町
053-0042 北海道 苫小牧市 三光町
053-0043 北海道 苫小牧市 日の出町
053-0044 北海道 苫小牧市 音羽町
053-0045 北海道 苫小牧市 双葉町
053-0046 北海道 苫小牧市 住吉町
053-0047 北海道 苫小牧市 泉町
053-0051 北海道 苫小牧市 明野元町
053-0052 北海道 苫小牧市 新開町
053-0053 北海道 苫小牧市 柳町
053-0054 北海道 苫小牧市 明野新町
053-0055 北海道 苫小牧市 新明町
053-0056 北海道 苫小牧市 あけぼの町
053-0056 北海道 苫小牧市 あけぼの町
053-0056 北海道 苫小牧市 あけぼの町
053-0801 北海道 苫小牧市 白金町
053-0802 北海道 苫小牧市 弥生町
053-0803 北海道 苫小牧市 矢代町
053-0804 北海道 苫小牧市 元町
053-0805 北海道 苫小牧市 新富町
053-0806 北海道 苫小牧市 大成町
053-0807 北海道 苫小牧市 青葉町
053-0811 北海道 苫小牧市 光洋町
053-0812 北海道 苫小牧市 有明町
053-0813 北海道 苫小牧市 小糸井町
053-0814 北海道 苫小牧市 糸井
053-0815 北海道 苫小牧市 永福町
053-0816 北海道 苫小牧市 日吉町
053-0821 北海道 苫小牧市 しらかば町
053-0822 北海道 苫小牧市 川沿町
053-0823 北海道 苫小牧市 柏木町
053-0831 北海道 苫小牧市 豊川町
053-0832 北海道 苫小牧市 桜木町
053-0833 北海道 苫小牧市 日新町
053-0841 北海道 苫小牧市 松風町
053-0842 北海道 苫小牧市 有珠の沢町
053-0843 北海道 苫小牧市 桜坂町
053-0844 北海道 苫小牧市 宮の森町
053-0845 北海道 苫小牧市 はまなす町
053-0851 北海道 苫小牧市 山手町
053-0852 北海道 苫小牧市 北光町
053-0853 北海道 苫小牧市 花園町
053-0854 北海道 苫小牧市 啓北町
053-0855 北海道 苫小牧市 見山町
053-8505 北海道 苫小牧市 一本松町
053-8506 北海道 苫小牧市 若草町
053-8511 北海道 苫小牧市 港町
053-8512 北海道 苫小牧市 木場町
053-8522 北海道 苫小牧市 元中野町
053-8533 北海道 苫小牧市 糸井
053-8540 北海道 苫小牧市 港町
053-8541 北海道 苫小牧市 美園町
053-8555 北海道 苫小牧市 清水町
053-8570 北海道 苫小牧市 旭町
053-8585 北海道 苫小牧市 表町
053-8588 北海道 苫小牧市 若草町
053-8609 北海道 苫小牧市 港町
053-8611 北海道 苫小牧市 若草町
053-8619 北海道 苫小牧市 旭町
053-8648 北海道 苫小牧市 日吉町
053-8653 北海道 苫小牧市 若草町
053-8654 北海道 苫小牧市 表町
053-8666 北海道 苫小牧市 錦町
053-8711 北海道 苫小牧市 王子町
053-8722 北海道 苫小牧市 旭町
054-0000 北海道 勇払郡むかわ町 
054-0001 北海道 勇払郡むかわ町 旭岡
054-0002 北海道 勇払郡むかわ町 春日
054-0003 北海道 勇払郡むかわ町 豊城
054-0004 北海道 勇払郡むかわ町 田浦
054-0005 北海道 勇払郡むかわ町 二宮
054-0011 北海道 勇払郡むかわ町 有明
054-0012 北海道 勇払郡むかわ町 生田
054-0013 北海道 勇払郡むかわ町 花岡
054-0014 北海道 勇払郡むかわ町 米原
054-0015 北海道 勇払郡むかわ町 汐見
054-0016 北海道 勇払郡むかわ町 宮戸
054-0021 北海道 勇払郡むかわ町 大原
054-0022 北海道 勇払郡むかわ町 花園
054-0023 北海道 勇払郡むかわ町 末広
054-0031 北海道 勇払郡むかわ町 青葉
054-0032 北海道 勇払郡むかわ町 福住
054-0041 北海道 勇払郡むかわ町 松風
054-0042 北海道 勇払郡むかわ町 美幸
054-0051 北海道 勇払郡むかわ町 文京
054-0052 北海道 勇払郡むかわ町 大成
054-0061 北海道 勇払郡むかわ町 洋光
054-0062 北海道 勇払郡むかわ町 若草
054-0063 北海道 勇払郡むかわ町 駒場
054-0064 北海道 勇払郡むかわ町 晴海
054-0141 北海道 勇払郡むかわ町 穂別栄
054-0142 北海道 勇払郡むかわ町 穂別仁和
054-0143 北海道 勇払郡むかわ町 穂別和泉
054-0144 北海道 勇払郡むかわ町 穂別豊田
054-0201 北海道 勇払郡むかわ町 穂別稲里
054-0202 北海道 勇払郡むかわ町 穂別長和
054-0203 北海道 勇払郡むかわ町 穂別豊田
054-0204 北海道 勇払郡むかわ町 穂別平丘
054-0211 北海道 勇払郡むかわ町 穂別
054-0361 北海道 勇払郡むかわ町 穂別福山
054-0362 北海道 勇払郡むかわ町 穂別安住
054-0363 北海道 勇払郡むかわ町 穂別平丘
054-0364 北海道 勇払郡むかわ町 穂別富内
054-8660 北海道 勇払郡むかわ町 美幸
055-0000 北海道 沙流郡日高町 
055-0001 北海道 沙流郡日高町 富川北
055-0002 北海道 沙流郡日高町 平賀
055-0003 北海道 沙流郡日高町 福満
055-0004 北海道 沙流郡日高町 富川東
055-0005 北海道 沙流郡日高町 富浜
055-0006 北海道 沙流郡日高町 富川南
055-0007 北海道 沙流郡日高町 富川西
055-0008 北海道 沙流郡日高町 富川駒丘
055-0100 北海道 沙流郡平取町 
055-0101 北海道 沙流郡平取町 二風谷
055-0102 北海道 沙流郡平取町 小平
055-0103 北海道 沙流郡平取町 川向
055-0104 北海道 沙流郡平取町 紫雲古津
055-0105 北海道 沙流郡平取町 去場
055-0106 北海道 沙流郡平取町 荷菜
055-0107 北海道 沙流郡平取町 本町
055-0192 北海道 沙流郡平取町 本町
055-0193 北海道 沙流郡平取町 本町
055-0195 北海道 沙流郡平取町 本町
055-0321 北海道 沙流郡平取町 貫気別
055-0322 北海道 沙流郡平取町 旭
055-0323 北海道 沙流郡平取町 芽生
055-0324 北海道 沙流郡平取町 荷負
055-0325 北海道 沙流郡平取町 長知内
055-0411 北海道 沙流郡平取町 振内町
055-0412 北海道 沙流郡平取町 幌毛志
055-0413 北海道 沙流郡平取町 仁世宇
055-0414 北海道 沙流郡平取町 岩知志
055-0415 北海道 沙流郡平取町 豊糠
055-2301 北海道 沙流郡日高町 本町東
055-2302 北海道 沙流郡日高町 本町西
055-2303 北海道 沙流郡日高町 栄町東
055-2304 北海道 沙流郡日高町 栄町西
055-2305 北海道 沙流郡日高町 新町
055-2306 北海道 沙流郡日高町 宮下町
055-2307 北海道 沙流郡日高町 松風町
055-2308 北海道 沙流郡日高町 山手町
055-2309 北海道 沙流郡日高町 若葉町
055-2311 北海道 沙流郡日高町 日高
055-2312 北海道 沙流郡日高町 日高
055-2313 北海道 沙流郡日高町 日高
055-2314 北海道 沙流郡日高町 千栄
055-2315 北海道 沙流郡日高町 富岡
055-2316 北海道 沙流郡日高町 三岩
056-0000 北海道 日高郡新ひだか町 
056-0001 北海道 日高郡新ひだか町 静内目名
056-0002 北海道 日高郡新ひだか町 静内神森
056-0003 北海道 日高郡新ひだか町 静内旭町
056-0004 北海道 日高郡新ひだか町 静内緑町
056-0005 北海道 日高郡新ひだか町 静内こうせい町
056-0006 北海道 日高郡新ひだか町 静内中野町
056-0007 北海道 日高郡新ひだか町 静内清水丘
056-0011 北海道 日高郡新ひだか町 静内真歌
056-0013 北海道 日高郡新ひだか町 静内入船町
056-0014 北海道 日高郡新ひだか町 静内古川町
056-0015 北海道 日高郡新ひだか町 静内海岸町
056-0016 北海道 日高郡新ひだか町 静内本町
056-0017 北海道 日高郡新ひだか町 静内御幸町
056-0018 北海道 日高郡新ひだか町 静内吉野町
056-0019 北海道 日高郡新ひだか町 静内青柳町
056-0021 北海道 日高郡新ひだか町 静内花園
056-0022 北海道 日高郡新ひだか町 静内高砂町
056-0023 北海道 日高郡新ひだか町 静内ときわ町
056-0024 北海道 日高郡新ひだか町 静内山手町
056-0025 北海道 日高郡新ひだか町 静内木場町
056-0026 北海道 日高郡新ひだか町 静内末広町
056-0027 北海道 日高郡新ひだか町 静内駒場
056-0028 北海道 日高郡新ひだか町 静内柏台
056-0141 北海道 日高郡新ひだか町 静内御園
056-0142 北海道 日高郡新ひだか町 静内農屋
056-0143 北海道 日高郡新ひだか町 静内豊畑
056-0144 北海道 日高郡新ひだか町 静内田原
056-0145 北海道 日高郡新ひだか町 静内目名
056-0146 北海道 日高郡新ひだか町 静内高見
056-8650 北海道 日高郡新ひだか町 静内御幸町
057-0000 北海道 浦河郡浦河町 
057-0001 北海道 浦河郡浦河町 東幌別
057-0002 北海道 浦河郡浦河町 西幌別
057-0003 北海道 浦河郡浦河町 白泉
057-0004 北海道 浦河郡浦河町 月寒
057-0005 北海道 浦河郡浦河町 東町うしお
