070-0000 北海道 旭川市 
070-0001 北海道 旭川市 新富１条
070-0002 北海道 旭川市 新富２条
070-0003 北海道 旭川市 新富３条
070-0010 北海道 旭川市 大雪通
070-0011 北海道 旭川市 パルプ町１条
070-0012 北海道 旭川市 パルプ町２条
070-0013 北海道 旭川市 パルプ町
070-0014 北海道 旭川市 新星町
070-0021 北海道 旭川市 東１条
070-0022 北海道 旭川市 東２条
070-0023 北海道 旭川市 東３条
070-0024 北海道 旭川市 東４条
070-0025 北海道 旭川市 東５条
070-0026 北海道 旭川市 東６条
070-0027 北海道 旭川市 東７条
070-0028 北海道 旭川市 東８条
070-0029 北海道 旭川市 金星町
070-0030 北海道 旭川市 宮下通
070-0030 北海道 旭川市 宮下通
070-0030 北海道 旭川市 宮下通
070-0030 北海道 旭川市 宮下通
070-0030 北海道 旭川市 宮下通
070-0030 北海道 旭川市 宮下通
070-0030 北海道 旭川市 宮下通
070-0030 北海道 旭川市 宮下通
070-0030 北海道 旭川市 宮下通
070-0030 北海道 旭川市 宮下通
070-0030 北海道 旭川市 宮下通
070-0030 北海道 旭川市 宮下通
070-0030 北海道 旭川市 宮下通
070-0030 北海道 旭川市 宮下通
070-0030 北海道 旭川市 宮下通
070-0030 北海道 旭川市 宮下通
070-0030 北海道 旭川市 宮下通
070-0031 北海道 旭川市 １条通
070-0031 北海道 旭川市 １条通
070-0031 北海道 旭川市 １条通
070-0031 北海道 旭川市 １条通
070-0031 北海道 旭川市 １条通
070-0031 北海道 旭川市 １条通
070-0031 北海道 旭川市 １条通
070-0031 北海道 旭川市 １条通
070-0031 北海道 旭川市 １条通
070-0031 北海道 旭川市 １条通
070-0031 北海道 旭川市 １条通
070-0031 北海道 旭川市 １条通
070-0031 北海道 旭川市 １条通
070-0031 北海道 旭川市 １条通
070-0031 北海道 旭川市 １条通
070-0031 北海道 旭川市 １条通
070-0031 北海道 旭川市 １条通
070-0032 北海道 旭川市 ２条通
070-0032 北海道 旭川市 ２条通
070-0032 北海道 旭川市 ２条通
070-0032 北海道 旭川市 ２条通
070-0032 北海道 旭川市 ２条通
070-0032 北海道 旭川市 ２条通
070-0032 北海道 旭川市 ２条通
070-0032 北海道 旭川市 ２条通
070-0032 北海道 旭川市 ２条通
070-0032 北海道 旭川市 ２条通
070-0032 北海道 旭川市 ２条通
070-0032 北海道 旭川市 ２条通
070-0032 北海道 旭川市 ２条通
070-0032 北海道 旭川市 ２条通
070-0032 北海道 旭川市 ２条通
070-0032 北海道 旭川市 ２条通
