080-0000 北海道 帯広市 
080-0010 北海道 帯広市 大通南
080-0011 北海道 帯広市 西一条南
080-0012 北海道 帯広市 西二条南
080-0013 北海道 帯広市 西三条南
080-0014 北海道 帯広市 西四条南
080-0015 北海道 帯広市 西五条南
080-0016 北海道 帯広市 西六条南
080-0017 北海道 帯広市 西七条南
080-0018 北海道 帯広市 西八条南
080-0019 北海道 帯広市 西九条南
080-0020 北海道 帯広市 西十条南
080-0021 北海道 帯広市 西十一条南
080-0022 北海道 帯広市 西十二条南
080-0023 北海道 帯広市 西十三条南
080-0024 北海道 帯広市 西十四条南
080-0025 北海道 帯広市 西十五条南
080-0026 北海道 帯広市 西十六条南
080-0027 北海道 帯広市 西十七条南
080-0028 北海道 帯広市 西十八条南
080-0029 北海道 帯広市 西十九条南
080-0029 北海道 帯広市 西十九条南
080-0029 北海道 帯広市 西十九条南
080-0029 北海道 帯広市 西十九条南
080-0029 北海道 帯広市 西十九条南
080-0029 北海道 帯広市 西十九条南
080-0030 北海道 帯広市 大通北
080-0031 北海道 帯広市 西一条北
080-0032 北海道 帯広市 西二条北
080-0033 北海道 帯広市 西三条北
080-0034 北海道 帯広市 西四条北
080-0035 北海道 帯広市 西五条北
080-0036 北海道 帯広市 西六条北
080-0037 北海道 帯広市 西七条北
080-0038 北海道 帯広市 西八条北
080-0039 北海道 帯広市 西九条北
080-0040 北海道 帯広市 西十条北
080-0041 北海道 帯広市 西十一条北
080-0042 北海道 帯広市 西十二条北
080-0043 北海道 帯広市 西十三条北
080-0044 北海道 帯広市 西十四条北
080-0045 北海道 帯広市 西十五条北
080-0046 北海道 帯広市 西十六条北
080-0047 北海道 帯広市 西十七条北
080-0048 北海道 帯広市 西十八条北
080-0050 北海道 帯広市 白樺十六条東
080-0051 北海道 帯広市 白樺十六条西
080-0052 北海道 帯広市 新町東
080-0053 北海道 帯広市 新町西
080-0054 北海道 帯広市 柏林台北町
080-0055 北海道 帯広市 柏林台東町
080-0056 北海道 帯広市 柏林台南町
080-0057 北海道 帯広市 柏林台中町
080-0058 北海道 帯広市 柏林台西町
080-0100 北海道 河東郡音更町 
080-0101 北海道 河東郡音更町 大通
080-0102 北海道 河東郡音更町 大通北
080-0103 北海道 河東郡音更町 元町
080-0104 北海道 河東郡音更町 新通
080-0105 北海道 河東郡音更町 新通北
080-0106 北海道 河東郡音更町 東通
080-0111 北海道 河東郡音更町 木野大通東
080-0112 北海道 河東郡音更町 木野東通
080-0121 北海道 河東郡音更町 柳町北区
080-0122 北海道 河東郡音更町 柳町仲区
080-0123 北海道 河東郡音更町 柳町南区
080-0131 北海道 河東郡音更町 宝来本通
080-0132 北海道 河東郡音更町 宝来仲町北
080-0133 北海道 河東郡音更町 宝来東町北
080-0134 北海道 河東郡音更町 宝来西町南
080-0135 北海道 河東郡音更町 宝来仲町南
080-0136 北海道 河東郡音更町 宝来東町南
080-0137 北海道 河東郡音更町 宝来南一条
