090-0000 北海道 北見市 
090-0001 北海道 北見市 小泉
090-0002 北海道 北見市 昭和
090-0003 北海道 北見市 仁頃町
090-0004 北海道 北見市 北陽
090-0005 北海道 北見市 大和
090-0006 北海道 北見市 上仁頃
090-0007 北海道 北見市 美里
090-0008 北海道 北見市 大正
090-0011 北海道 北見市 曙町
090-0012 北海道 北見市 並木町
090-0013 北海道 北見市 柏陽町
090-0014 北海道 北見市 文京町
090-0015 北海道 北見市 公園町
090-0016 北海道 北見市 大町
090-0017 北海道 北見市 高砂町
090-0018 北海道 北見市 青葉町
090-0019 北海道 北見市 三楽町
090-0020 北海道 北見市 大通東
090-0021 北海道 北見市 北一条東
090-0022 北海道 北見市 北二条東
090-0023 北海道 北見市 北三条東
090-0024 北海道 北見市 北四条東
090-0025 北海道 北見市 北五条東
090-0026 北海道 北見市 北六条東
090-0027 北海道 北見市 北七条東
090-0028 北海道 北見市 北八条東
090-0029 北海道 北見市 北九条東
090-0030 北海道 北見市 北十条東
090-0031 北海道 北見市 北十一条東
090-0032 北海道 北見市 三住町
090-0033 北海道 北見市 番場町
090-0034 北海道 北見市 中央町
090-0035 北海道 北見市 北斗町
090-0036 北海道 北見市 幸町
090-0037 北海道 北見市 山下町
090-0040 北海道 北見市 大通西
090-0041 北海道 北見市 北一条西
090-0042 北海道 北見市 北二条西
090-0043 北海道 北見市 北三条西
090-0044 北海道 北見市 北四条西
090-0045 北海道 北見市 北五条西
090-0046 北海道 北見市 北六条西
090-0047 北海道 北見市 北七条西
090-0048 北海道 北見市 北八条西
090-0051 北海道 北見市 高栄東町
090-0052 北海道 北見市 北進町
090-0053 北海道 北見市 桂町
090-0054 北海道 北見市 双葉町
090-0055 北海道 北見市 緑町
090-0056 北海道 北見市 卸町
090-0057 北海道 北見市 若葉
090-0058 北海道 北見市 高栄西町
090-0061 北海道 北見市 東陵町
090-0062 北海道 北見市 美山町
090-0063 北海道 北見市 清見町
090-0064 北海道 北見市 美芳町
090-0065 北海道 北見市 寿町
090-0066 北海道 北見市 花月町
090-0067 北海道 北見市 緑ケ丘
090-0068 北海道 北見市 美山町南
090-0069 北海道 北見市 美山町東
090-0070 北海道 北見市 美山町西
090-0801 北海道 北見市 春光町
090-0802 北海道 北見市 田端町
090-0803 北海道 北見市 朝日町
090-0804 北海道 北見市 桜町
090-0805 北海道 北見市 清月町
090-0806 北海道 北見市 南町
090-0807 北海道 北見市 川東
090-0808 北海道 北見市 若松
090-0810 北海道 北見市 ひかり野
090-0811 北海道 北見市 泉町
090-0812 北海道 北見市 南仲町
090-0813 北海道 北見市 中ノ島町
090-0814 北海道 北見市 光葉町
090-0815 北海道 北見市 新生町
090-0816 北海道 北見市 花園町
090-0817 北海道 北見市 常盤町
090-0818 北海道 北見市 本町
090-0821 北海道 北見市 川沿町
090-0822 北海道 北見市 北央町
090-0823 北海道 北見市 広明町
090-0824 北海道 北見市 北光
090-0825 北海道 北見市 無加川町
090-0826 北海道 北見市 末広町
090-0827 北海道 北見市 錦町
090-0831 北海道 北見市 西富町
090-0832 北海道 北見市 栄町
090-0833 北海道 北見市 とん田東町
090-0834 北海道 北見市 とん田西町
090-0835 北海道 北見市 光西町
090-0836 北海道 北見市 東三輪
090-0837 北海道 北見市 中央三輪
090-0838 北海道 北見市 西三輪
090-8501 北海道 北見市 北五条東
090-8502 北海道 北見市 とん田東町
090-8503 北海道 北見市 南町
090-8507 北海道 北見市 公園町
090-8509 北海道 北見市 大通西
090-8511 北海道 北見市 青葉町
090-8518 北海道 北見市 青葉町
090-8519 北海道 北見市 大通西
090-8532 北海道 北見市 北四条西
090-8533 北海道 北見市 柏陽町
090-8540 北海道 北見市 青葉町
090-8550 北海道 北見市 卸町
090-8555 北海道 北見市 北光
090-8558 北海道 北見市 大正
090-8560 北海道 北見市 卸町
090-8567 北海道 北見市 北三条西
090-8580 北海道 北見市 大通西
090-8585 北海道 北見市 高砂町
090-8588 北海道 北見市 北斗町
090-8610 北海道 北見市 北二条西
090-8642 北海道 北見市 三楽町
090-8650 北海道 北見市 とん田東町
090-8652 北海道 北見市 とん田東町
090-8655 北海道 北見市 幸町
090-8666 北海道 北見市 北六条東
090-8680 北海道 北見市 北六条東
090-8710 北海道 北見市 北三条東
090-8711 北海道 北見市 北二条東
090-8722 北海道 北見市 大通西
090-8723 北海道 北見市 常盤町
090-8729 北海道 北見市 北二条西
091-0001 北海道 北見市 留辺蘂町元町
091-0002 北海道 北見市 留辺蘂町東町
091-0003 北海道 北見市 留辺蘂町仲町
091-0004 北海道 北見市 留辺蘂町上町
091-0007 北海道 北見市 留辺蘂町富岡
091-0008 北海道 北見市 留辺蘂町宮下町
091-0011 北海道 北見市 留辺蘂町泉
091-0016 北海道 北見市 留辺蘂町丸山
091-0017 北海道 北見市 留辺蘂町瑞穂
091-0018 北海道 北見市 留辺蘂町花園
091-0021 北海道 北見市 留辺蘂町金華
091-0022 北海道 北見市 留辺蘂町旭東
091-0023 北海道 北見市 留辺蘂町旭中央
091-0024 北海道 北見市 留辺蘂町旭南
091-0025 北海道 北見市 留辺蘂町旭北
091-0026 北海道 北見市 留辺蘂町旭公園
091-0027 北海道 北見市 留辺蘂町旭西
091-0028 北海道 北見市 留辺蘂町旭３区
091-0029 北海道 北見市 留辺蘂町旭１区
091-0031 北海道 北見市 留辺蘂町大富
091-0032 北海道 北見市 留辺蘂町豊金
091-0033 北海道 北見市 留辺蘂町栄町
091-0151 北海道 北見市 留辺蘂町昭栄
091-0153 北海道 北見市 留辺蘂町松山
091-0154 北海道 北見市 留辺蘂町平里
091-0155 北海道 北見市 留辺蘂町大和
091-0156 北海道 北見市 留辺蘂町川北
091-0157 北海道 北見市 留辺蘂町花丘
091-0161 北海道 北見市 留辺蘂町厚和
091-0162 北海道 北見市 留辺蘂町富士見
091-0163 北海道 北見市 留辺蘂町滝の湯
091-0170 北海道 北見市 留辺蘂町温根湯温泉
091-0192 北海道 北見市 留辺蘂町温根湯温泉
091-0193 北海道 北見市 留辺蘂町温根湯温泉
091-0194 北海道 北見市 留辺蘂町温根湯温泉
091-0471 北海道 常呂郡佐呂間町 大成
091-0472 北海道 常呂郡佐呂間町 栄
091-0473 北海道 常呂郡佐呂間町 共立
091-0551 北海道 常呂郡佐呂間町 若佐
091-0552 北海道 常呂郡佐呂間町 富丘
091-0553 北海道 常呂郡佐呂間町 朝日
