100-0000 東京都 千代田区 
100-0001 東京都 千代田区 千代田
100-0002 東京都 千代田区 皇居外苑
100-0003 東京都 千代田区 一ツ橋
100-0004 東京都 千代田区 大手町
100-0005 東京都 千代田区 丸の内
100-0006 東京都 千代田区 有楽町
100-0011 東京都 千代田区 内幸町
100-0012 東京都 千代田区 日比谷公園
100-0013 東京都 千代田区 霞が関
100-0014 東京都 千代田区 永田町
100-0100 東京都 大島町 
100-0101 東京都 大島町 元町
100-0102 東京都 大島町 岡田
100-0103 東京都 大島町 泉津
100-0104 東京都 大島町 野増
100-0211 東京都 大島町 差木地
100-0212 東京都 大島町 波浮港
100-0301 東京都 利島村 
100-0400 東京都 新島村 
100-0401 東京都 新島村 若郷
100-0402 東京都 新島村 本村
100-0511 東京都 新島村 式根島
100-0601 東京都 神津島村 
100-1100 東京都 三宅島三宅村 
100-1101 東京都 三宅島三宅村 神着
100-1102 東京都 三宅島三宅村 伊豆
100-1103 東京都 三宅島三宅村 伊ケ谷
100-1211 東京都 三宅島三宅村 坪田
100-1212 東京都 三宅島三宅村 阿古
100-1213 東京都 三宅島三宅村 雄山
100-1301 東京都 御蔵島村 
100-1400 東京都 八丈島八丈町 
100-1401 東京都 八丈島八丈町 大賀郷
100-1492 東京都 八丈島八丈町 大賀郷
100-1498 東京都 八丈島八丈町 大賀郷
100-1511 東京都 八丈島八丈町 三根
100-1621 東京都 八丈島八丈町 樫立
100-1622 東京都 八丈島八丈町 末吉
100-1623 東京都 八丈島八丈町 中之郷
100-1701 東京都 青ヶ島村 
100-2100 東京都 小笠原村 
100-2101 東京都 小笠原村 父島
100-2211 東京都 小笠原村 母島
100-3131 東京都 千代田区 大手町
100-6001 東京都 千代田区 霞が関
100-6002 東京都 千代田区 霞が関
100-6003 東京都 千代田区 霞が関
100-6004 東京都 千代田区 霞が関
100-6005 東京都 千代田区 霞が関
100-6006 東京都 千代田区 霞が関
100-6007 東京都 千代田区 霞が関
100-6008 東京都 千代田区 霞が関
100-6009 東京都 千代田区 霞が関
100-6010 東京都 千代田区 霞が関
100-6011 東京都 千代田区 霞が関
100-6012 東京都 千代田区 霞が関
100-6013 東京都 千代田区 霞が関
100-6014 東京都 千代田区 霞が関
