130-0000 東京都 墨田区 
130-0001 東京都 墨田区 吾妻橋
130-0002 東京都 墨田区 業平
130-0003 東京都 墨田区 横川
130-0004 東京都 墨田区 本所
130-0005 東京都 墨田区 東駒形
130-0011 東京都 墨田区 石原
130-0012 東京都 墨田区 太平
130-0013 東京都 墨田区 錦糸
130-0014 東京都 墨田区 亀沢
130-0015 東京都 墨田区 横網
130-0021 東京都 墨田区 緑
130-0022 東京都 墨田区 江東橋
130-0023 東京都 墨田区 立川
130-0024 東京都 墨田区 菊川
130-0025 東京都 墨田区 千歳
130-0026 東京都 墨田区 両国
130-8501 東京都 墨田区 錦糸
130-8503 東京都 墨田区 錦糸
130-8504 東京都 墨田区 緑
130-8505 東京都 墨田区 横網
130-8506 東京都 墨田区 緑
130-8507 東京都 墨田区 錦糸
130-8508 東京都 墨田区 亀沢
130-8509 東京都 墨田区 両国
130-8510 東京都 墨田区 菊川
130-8511 東京都 墨田区 緑
130-8512 東京都 墨田区 錦糸
130-8513 東京都 墨田区 立川
130-8514 東京都 墨田区 亀沢
130-8515 東京都 墨田区 千歳
130-8516 東京都 墨田区 江東橋
130-8517 東京都 墨田区 千歳
130-8518 東京都 墨田区 江東橋
130-8520 東京都 墨田区 亀沢
130-8522 東京都 墨田区 緑
130-8525 東京都 墨田区 菊川
130-8528 東京都 墨田区 緑
130-8530 東京都 墨田区 緑
130-8531 東京都 墨田区 錦糸
130-8533 東京都 墨田区 錦糸
130-8534 東京都 墨田区 錦糸
130-8535 東京都 墨田区 江東橋
130-8538 東京都 墨田区 両国
130-8539 東京都 墨田区 江東橋
130-8543 東京都 墨田区 太平
130-8545 東京都 墨田区 両国
130-8548 東京都 墨田区 菊川
130-8554 東京都 墨田区 両国
130-8555 東京都 墨田区 菊川
130-8556 東京都 墨田区 両国
130-8557 東京都 墨田区 錦糸
130-8558 東京都 墨田区 両国
130-8565 東京都 墨田区 錦糸
130-8566 東京都 墨田区 亀沢
130-8567 東京都 墨田区 緑
130-8570 東京都 墨田区 緑
130-8575 東京都 墨田区 江東橋
130-8577 東京都 墨田区 両国
130-8580 東京都 墨田区 江東橋
130-8583 東京都 墨田区 菊川
130-8584 東京都 墨田区 錦糸
130-8588 東京都 墨田区 千歳
130-8601 東京都 墨田区 業平
130-8602 東京都 墨田区 吾妻橋
130-8603 東京都 墨田区 横川
130-8604 東京都 墨田区 本所
130-8605 東京都 墨田区 本所
130-8608 東京都 墨田区 業平
130-8609 東京都 墨田区 江東橋
130-8611 東京都 墨田区 東駒形
130-8615 東京都 墨田区 横網
130-8625 東京都 墨田区 太平
130-8636 東京都 墨田区 錦糸
130-8637 東京都 墨田区 錦糸
130-8640 東京都 墨田区 吾妻橋
130-8642 東京都 墨田区 石原
130-8644 東京都 墨田区 本所
130-8650 東京都 墨田区 緑
130-8655 東京都 墨田区 本所
130-8660 東京都 墨田区 太平
130-8666 東京都 墨田区 吾妻橋
130-8668 東京都 墨田区 本所
130-8671 東京都 墨田区 石原
130-8677 東京都 墨田区 吾妻橋
130-8686 東京都 墨田区 業平
130-8701 東京都 墨田区 横網
130-8706 東京都 墨田区 太平
130-8710 東京都 墨田区 両国
130-8720 東京都 墨田区 亀沢
131-0031 東京都 墨田区 墨田
131-0032 東京都 墨田区 東向島
131-0033 東京都 墨田区 向島
131-0034 東京都 墨田区 堤通
131-0041 東京都 墨田区 八広
131-0042 東京都 墨田区 東墨田
131-0043 東京都 墨田区 立花
131-0044 東京都 墨田区 文花
131-0045 東京都 墨田区 押上
131-0046 東京都 墨田区 京島
131-8501 東京都 墨田区 文花
131-8503 東京都 墨田区 向島
131-8504 東京都 墨田区 向島
131-8505 東京都 墨田区 向島
131-8506 東京都 墨田区 向島
131-8507 東京都 墨田区 向島
131-8508 東京都 墨田区 押上
131-8509 東京都 墨田区 東向島
131-8510 東京都 墨田区 堤通
131-8511 東京都 墨田区 墨田
131-8512 東京都 墨田区 墨田
131-8513 東京都 墨田区 墨田
131-8518 東京都 墨田区 八広
131-8519 東京都 墨田区 文花
131-8520 東京都 墨田区 墨田
131-8524 東京都 墨田区 押上
131-8526 東京都 墨田区 立花
131-8527 東京都 墨田区 立花
131-8530 東京都 墨田区 本所
131-8533 東京都 墨田区 堤通
131-8540 東京都 墨田区 堤通
131-8550 東京都 墨田区 押上
131-8555 東京都 墨田区 押上
131-8565 東京都 墨田区 堤通
131-8584 東京都 墨田区 堤通
131-8585 東京都 墨田区 東向島
131-8588 東京都 墨田区 墨田
131-8634 東京都 墨田区 押上
131-8711 東京都 墨田区 業平
132-0000 東京都 江戸川区 
132-0001 東京都 江戸川区 新堀
132-0002 東京都 江戸川区 谷河内
132-0003 東京都 江戸川区 春江町
132-0003 東京都 江戸川区 春江町
132-0003 東京都 江戸川区 春江町
132-0011 東京都 江戸川区 瑞江
132-0013 東京都 江戸川区 江戸川
132-0013 東京都 江戸川区 江戸川
132-0013 東京都 江戸川区 江戸川
132-0013 東京都 江戸川区 江戸川
132-0014 東京都 江戸川区 東瑞江
132-0015 東京都 江戸川区 西瑞江
132-0015 東京都 江戸川区 西瑞江
132-0015 東京都 江戸川区 西瑞江
132-0021 東京都 江戸川区 中央
132-0022 東京都 江戸川区 大杉
132-0023 東京都 江戸川区 西一之江
132-0024 東京都 江戸川区 一之江
132-0025 東京都 江戸川区 松江
132-0031 東京都 江戸川区 松島
132-0032 東京都 江戸川区 西小松川町
132-0033 東京都 江戸川区 東小松川
132-0034 東京都 江戸川区 小松川
132-0035 東京都 江戸川区 平井
132-8501 東京都 江戸川区 中央
132-8503 東京都 江戸川区 松江
132-8507 東京都 江戸川区 中央
132-8533 東京都 江戸川区 松江
132-8550 東京都 江戸川区 中央
132-8551 東京都 江戸川区 中央
132-8555 東京都 江戸川区 西瑞江
132-8562 東京都 江戸川区 松江
132-8567 東京都 江戸川区 松江
132-8585 東京都 江戸川区 中央
132-8601 東京都 江戸川区 松江
132-8666 東京都 江戸川区 中央
132-8668 東京都 江戸川区 平井
132-8674 東京都 江戸川区 中央
132-8686 東京都 江戸川区 松江
132-8688 東京都 江戸川区 春江町
132-8711 東京都 江戸川区 平井
132-8715 東京都 江戸川区 江戸川
132-8730 東京都 江戸川区 中央
132-8732 東京都 江戸川区 中央
132-8739 東京都 江戸川区 松島
133-0002 東京都 江戸川区 谷河内
133-0041 東京都 江戸川区 上一色
133-0042 東京都 江戸川区 興宮町
133-0043 東京都 江戸川区 松本
133-0044 東京都 江戸川区 本一色
133-0051 東京都 江戸川区 北小岩
133-0052 東京都 江戸川区 東小岩
133-0053 東京都 江戸川区 北篠崎
133-0054 東京都 江戸川区 上篠崎
133-0055 東京都 江戸川区 西篠崎
133-0056 東京都 江戸川区 南小岩
133-0057 東京都 江戸川区 西小岩
133-0061 東京都 江戸川区 篠崎町
133-0062 東京都 江戸川区 東篠崎町
133-0063 東京都 江戸川区 東篠崎

133-0064 東京都 江戸川区 下篠崎町
133-0065 東京都 江戸川区 南篠崎町
133-0071 東京都 江戸川区 東松本
133-0072 東京都 江戸川区 鹿骨町
133-0073 東京都 江戸川区 鹿骨
133-8501 東京都 江戸川区 上一色
133-8511 東京都 江戸川区 東篠崎
133-8552 東京都 江戸川区 東小岩
133-8553 東京都 江戸川区 東小岩
133-8558 東京都 江戸川区 東松本
133-8580 東京都 江戸川区 東篠崎
133-8585 東京都 江戸川区 西小岩
133-8704 東京都 江戸川区 南小岩
133-8706 東京都 江戸川区 一之江
134-0003 東京都 江戸川区 春江町
134-0003 東京都 江戸川区 春江町
134-0013 東京都 江戸川区 江戸川
134-0015 東京都 江戸川区 西瑞江
134-0015 東京都 江戸川区 西瑞江
134-0081 東京都 江戸川区 北葛西
134-0082 東京都 江戸川区 宇喜田町
134-0083 東京都 江戸川区 中葛西
134-0084 東京都 江戸川区 東葛西
134-0085 東京都 江戸川区 南葛西
134-0086 東京都 江戸川区 臨海町
134-0087 東京都 江戸川区 清新町
134-0088 東京都 江戸川区 西葛西
134-0091 東京都 江戸川区 船堀
134-0092 東京都 江戸川区 一之江町
134-0093 東京都 江戸川区 二之江町
134-8502 東京都 江戸川区 中葛西
134-8503 東京都 江戸川区 中葛西
134-8507 東京都 江戸川区 中葛西
134-8515 東京都 江戸川区 中葛西
134-8520 東京都 江戸川区 東葛西
134-8533 東京都 江戸川区 東葛西
134-8555 東京都 江戸川区 南葛西
134-8570 東京都 江戸川区 臨海町
134-8575 東京都 江戸川区 臨海町
134-8576 東京都 江戸川区 臨海町
134-8577 東京都 江戸川区 臨海町
134-8585 東京都 江戸川区 臨海町
134-8586 東京都 江戸川区 臨海町
134-8588 東京都 江戸川区 臨海町
134-8601 東京都 江戸川区 西葛西
134-8602 東京都 江戸川区 西葛西
134-8603 東京都 江戸川区 西葛西
134-8609 東京都 江戸川区 西葛西
134-8610 東京都 江戸川区 西葛西
134-8612 東京都 江戸川区 西葛西
134-8622 東京都 江戸川区 船堀
134-8630 東京都 江戸川区 北葛西
134-8631 東京都 江戸川区 北葛西
134-8640 東京都 江戸川区 西瑞江
134-8642 東京都 江戸川区 西瑞江
134-8686 東京都 江戸川区 西葛西
134-8702 東京都 江戸川区 中葛西
135-0000 東京都 江東区 
135-0001 東京都 江東区 毛利
135-0002 東京都 江東区 住吉
135-0003 東京都 江東区 猿江
135-0004 東京都 江東区 森下
135-0005 東京都 江東区 高橋
