190-0000 東京都 立川市 
190-0001 東京都 立川市 若葉町
190-0002 東京都 立川市 幸町
190-0003 東京都 立川市 栄町
190-0004 東京都 立川市 柏町
190-0011 東京都 立川市 高松町
190-0012 東京都 立川市 曙町
190-0013 東京都 立川市 富士見町
190-0014 東京都 立川市 緑町
190-0015 東京都 立川市 泉町
190-0021 東京都 立川市 羽衣町
190-0022 東京都 立川市 錦町
190-0023 東京都 立川市 柴崎町
190-0031 東京都 立川市 砂川町
190-0032 東京都 立川市 上砂町
190-0033 東京都 立川市 一番町
190-0034 東京都 立川市 西砂町
190-0100 東京都 あきる野市 
190-0100 東京都 西多摩郡日の出町 
190-0141 東京都 あきる野市 横沢
190-0142 東京都 あきる野市 伊奈
190-0143 東京都 あきる野市 上ノ台
190-0144 東京都 あきる野市 山田
190-0151 東京都 あきる野市 小和田
190-0152 東京都 あきる野市 留原
190-0153 東京都 あきる野市 小峰台
190-0154 東京都 あきる野市 高尾
190-0155 東京都 あきる野市 網代
190-0161 東京都 あきる野市 入野
190-0162 東京都 あきる野市 三内
190-0163 東京都 あきる野市 舘谷
190-0164 東京都 あきる野市 五日市
190-0165 東京都 あきる野市 小中野
190-0166 東京都 あきる野市 舘谷台
190-0171 東京都 あきる野市 養沢
190-0172 東京都 あきる野市 深沢
190-0173 東京都 あきる野市 戸倉
190-0174 東京都 あきる野市 乙津
190-0181 東京都 西多摩郡日の出町 大久野
190-0182 東京都 西多摩郡日の出町 平井
190-0192 東京都 西多摩郡日の出町 平井
190-0200 東京都 西多摩郡檜原村 
190-0201 東京都 西多摩郡檜原村 倉掛
190-0202 東京都 西多摩郡檜原村 藤原
190-0203 東京都 西多摩郡檜原村 神戸
190-0204 東京都 西多摩郡檜原村 小沢
190-0205 東京都 西多摩郡檜原村 樋里
190-0211 東京都 西多摩郡檜原村 三都郷
190-0212 東京都 西多摩郡檜原村 上元郷
190-0213 東京都 西多摩郡檜原村 下元郷
190-0214 東京都 西多摩郡檜原村 本宿
190-0221 東京都 西多摩郡檜原村 数馬
190-0222 東京都 西多摩郡檜原村 人里
190-0223 東京都 西多摩郡檜原村 南郷
190-1200 東京都 西多摩郡瑞穂町 
190-1201 東京都 西多摩郡瑞穂町 二本木
190-1202 東京都 西多摩郡瑞穂町 駒形富士山
190-1203 東京都 西多摩郡瑞穂町 高根
190-1204 東京都 西多摩郡瑞穂町 富士山栗原新田
190-1211 東京都 西多摩郡瑞穂町 石畑
190-1212 東京都 西多摩郡瑞穂町 殿ケ谷
190-1213 東京都 西多摩郡瑞穂町 武蔵
190-1214 東京都 西多摩郡瑞穂町 むさし野
190-1221 東京都 西多摩郡瑞穂町 箱根ケ崎
190-1222 東京都 西多摩郡瑞穂町 箱根ケ崎東松原
190-1223 東京都 西多摩郡瑞穂町 箱根ケ崎西松原
190-1224 東京都 西多摩郡瑞穂町 南平
190-1231 東京都 西多摩郡瑞穂町 長岡長谷部
190-1232 東京都 西多摩郡瑞穂町 長岡
