210-0000 神奈川県 川崎市川崎区 
210-0001 神奈川県 川崎市川崎区 本町
210-0002 神奈川県 川崎市川崎区 榎町
210-0003 神奈川県 川崎市川崎区 堀之内町
210-0004 神奈川県 川崎市川崎区 宮本町
210-0005 神奈川県 川崎市川崎区 東田町
210-0006 神奈川県 川崎市川崎区 砂子
210-0007 神奈川県 川崎市川崎区 駅前本町
210-0011 神奈川県 川崎市川崎区 富士見
210-0012 神奈川県 川崎市川崎区 宮前町
210-0013 神奈川県 川崎市川崎区 新川通
210-0014 神奈川県 川崎市川崎区 貝塚
210-0015 神奈川県 川崎市川崎区 南町
210-0021 神奈川県 川崎市川崎区 元木
210-0022 神奈川県 川崎市川崎区 池田
210-0023 神奈川県 川崎市川崎区 小川町
210-0024 神奈川県 川崎市川崎区 日進町
210-0025 神奈川県 川崎市川崎区 下並木
210-0026 神奈川県 川崎市川崎区 堤根
210-0801 神奈川県 川崎市川崎区 鈴木町
210-0802 神奈川県 川崎市川崎区 大師駅前
210-0803 神奈川県 川崎市川崎区 川中島
210-0804 神奈川県 川崎市川崎区 藤崎
210-0805 神奈川県 川崎市川崎区 伊勢町
210-0806 神奈川県 川崎市川崎区 中島
210-0807 神奈川県 川崎市川崎区 港町
210-0808 神奈川県 川崎市川崎区 旭町
210-0811 神奈川県 川崎市川崎区 大師河原
210-0812 神奈川県 川崎市川崎区 東門前
210-0813 神奈川県 川崎市川崎区 昭和
210-0814 神奈川県 川崎市川崎区 台町
210-0815 神奈川県 川崎市川崎区 大師公園
210-0816 神奈川県 川崎市川崎区 大師町
210-0817 神奈川県 川崎市川崎区 大師本町
210-0818 神奈川県 川崎市川崎区 中瀬
210-0821 神奈川県 川崎市川崎区 殿町
210-0822 神奈川県 川崎市川崎区 田町
210-0823 神奈川県 川崎市川崎区 江川
210-0824 神奈川県 川崎市川崎区 日ノ出
210-0825 神奈川県 川崎市川崎区 出来野
210-0826 神奈川県 川崎市川崎区 塩浜
210-0827 神奈川県 川崎市川崎区 四谷下町
210-0828 神奈川県 川崎市川崎区 四谷上町
210-0831 神奈川県 川崎市川崎区 観音
210-0832 神奈川県 川崎市川崎区 池上新町
210-0833 神奈川県 川崎市川崎区 桜本
210-0834 神奈川県 川崎市川崎区 大島
210-0835 神奈川県 川崎市川崎区 追分町
210-0836 神奈川県 川崎市川崎区 大島上町
210-0837 神奈川県 川崎市川崎区 渡田
210-0838 神奈川県 川崎市川崎区 境町
210-0841 神奈川県 川崎市川崎区 渡田向町
210-0842 神奈川県 川崎市川崎区 渡田東町
210-0843 神奈川県 川崎市川崎区 小田栄
