230-0000 神奈川県 横浜市鶴見区 
230-0001 神奈川県 横浜市鶴見区 矢向
230-0002 神奈川県 横浜市鶴見区 江ケ崎町
230-0003 神奈川県 横浜市鶴見区 尻手
230-0004 神奈川県 横浜市鶴見区 元宮
230-0011 神奈川県 横浜市鶴見区 上末吉
230-0012 神奈川県 横浜市鶴見区 下末吉
230-0013 神奈川県 横浜市鶴見区 三ツ池公園
230-0014 神奈川県 横浜市鶴見区 諏訪坂
230-0015 神奈川県 横浜市鶴見区 寺谷
230-0016 神奈川県 横浜市鶴見区 東寺尾北台
230-0017 神奈川県 横浜市鶴見区 東寺尾中台
230-0018 神奈川県 横浜市鶴見区 東寺尾東台
230-0021 神奈川県 横浜市鶴見区 市場上町
230-0022 神奈川県 横浜市鶴見区 市場東中町
230-0023 神奈川県 横浜市鶴見区 市場西中町
230-0024 神奈川県 横浜市鶴見区 市場下町
230-0025 神奈川県 横浜市鶴見区 市場大和町
230-0026 神奈川県 横浜市鶴見区 市場富士見町
230-0027 神奈川県 横浜市鶴見区 菅沢町
230-0031 神奈川県 横浜市鶴見区 平安町
230-0032 神奈川県 横浜市鶴見区 大東町
230-0033 神奈川県 横浜市鶴見区 朝日町
230-0034 神奈川県 横浜市鶴見区 寛政町
230-0035 神奈川県 横浜市鶴見区 安善町
230-0036 神奈川県 横浜市鶴見区 浜町
230-0037 神奈川県 横浜市鶴見区 向井町
230-0038 神奈川県 横浜市鶴見区 栄町通
230-0041 神奈川県 横浜市鶴見区 潮田町
230-0042 神奈川県 横浜市鶴見区 仲通
230-0043 神奈川県 横浜市鶴見区 汐入町
230-0044 神奈川県 横浜市鶴見区 弁天町
230-0045 神奈川県 横浜市鶴見区 末広町
230-0046 神奈川県 横浜市鶴見区 小野町
230-0047 神奈川県 横浜市鶴見区 下野谷町
230-0048 神奈川県 横浜市鶴見区 本町通
230-0051 神奈川県 横浜市鶴見区 鶴見中央
230-0052 神奈川県 横浜市鶴見区 生麦
230-0053 神奈川県 横浜市鶴見区 大黒町
230-0054 神奈川県 横浜市鶴見区 大黒ふ頭
230-0055 神奈川県 横浜市鶴見区 扇島
230-0061 神奈川県 横浜市鶴見区 佃野町
230-0062 神奈川県 横浜市鶴見区 豊岡町
230-0063 神奈川県 横浜市鶴見区 鶴見
230-0071 神奈川県 横浜市鶴見区 駒岡
230-0072 神奈川県 横浜市鶴見区 梶山
230-0073 神奈川県 横浜市鶴見区 獅子ケ谷
230-0074 神奈川県 横浜市鶴見区 北寺尾
230-0075 神奈川県 横浜市鶴見区 上の宮
230-0076 神奈川県 横浜市鶴見区 馬場
230-0077 神奈川県 横浜市鶴見区 東寺尾
230-0078 神奈川県 横浜市鶴見区 岸谷
230-8501 神奈川県 横浜市鶴見区 鶴見
230-8504 神奈川県 横浜市鶴見区 下末吉
230-8511 神奈川県 横浜市鶴見区 鶴見中央
230-8550 神奈川県 横浜市鶴見区 鶴見中央
230-8555 神奈川県 横浜市鶴見区 鶴見中央
230-8571 神奈川県 横浜市鶴見区 鶴見中央
230-8577 神奈川県 横浜市鶴見区 東寺尾
230-8585 神奈川県 横浜市鶴見区 尻手
230-8601 神奈川県 横浜市鶴見区 鶴見中央
230-8611 神奈川県 横浜市鶴見区 末広町
230-8623 神奈川県 横浜市鶴見区 鶴見中央
