240-0000 神奈川県 横浜市保土ケ谷区 
240-0001 神奈川県 横浜市保土ケ谷区 川辺町
240-0002 神奈川県 横浜市保土ケ谷区 宮田町
240-0003 神奈川県 横浜市保土ケ谷区 天王町
240-0004 神奈川県 横浜市保土ケ谷区 岩間町
240-0005 神奈川県 横浜市保土ケ谷区 神戸町
240-0006 神奈川県 横浜市保土ケ谷区 星川
240-0007 神奈川県 横浜市保土ケ谷区 明神台
240-0011 神奈川県 横浜市保土ケ谷区 桜ケ丘
240-0012 神奈川県 横浜市保土ケ谷区 月見台
240-0013 神奈川県 横浜市保土ケ谷区 帷子町
240-0014 神奈川県 横浜市保土ケ谷区 霞台
240-0015 神奈川県 横浜市保土ケ谷区 岩崎町
240-0016 神奈川県 横浜市保土ケ谷区 初音ケ丘
240-0017 神奈川県 横浜市保土ケ谷区 花見台
240-0021 神奈川県 横浜市保土ケ谷区 保土ケ谷町
240-0022 神奈川県 横浜市保土ケ谷区 西久保町
240-0023 神奈川県 横浜市保土ケ谷区 岩井町
240-0024 神奈川県 横浜市保土ケ谷区 瀬戸ケ谷町
240-0025 神奈川県 横浜市保土ケ谷区 狩場町
240-0026 神奈川県 横浜市保土ケ谷区 権太坂
240-0031 神奈川県 横浜市保土ケ谷区 藤塚町
240-0032 神奈川県 横浜市保土ケ谷区 法泉
240-0033 神奈川県 横浜市保土ケ谷区 境木本町
240-0034 神奈川県 横浜市保土ケ谷区 境木町
240-0035 神奈川県 横浜市保土ケ谷区 今井町
240-0036 神奈川県 横浜市保土ケ谷区 新桜ケ丘
240-0041 神奈川県 横浜市保土ケ谷区 東川島町
240-0042 神奈川県 横浜市保土ケ谷区 上星川
240-0043 神奈川県 横浜市保土ケ谷区 坂本町
240-0044 神奈川県 横浜市保土ケ谷区 仏向町
240-0045 神奈川県 横浜市保土ケ谷区 川島町
240-0046 神奈川県 横浜市保土ケ谷区 仏向西
240-0051 神奈川県 横浜市保土ケ谷区 上菅田町
240-0052 神奈川県 横浜市保土ケ谷区 西谷町
240-0053 神奈川県 横浜市保土ケ谷区 新井町
240-0061 神奈川県 横浜市保土ケ谷区 峰沢町
240-0062 神奈川県 横浜市保土ケ谷区 岡沢町
240-0063 神奈川県 横浜市保土ケ谷区 鎌谷町
240-0064 神奈川県 横浜市保土ケ谷区 峰岡町
240-0065 神奈川県 横浜市保土ケ谷区 和田
240-0066 神奈川県 横浜市保土ケ谷区 釜台町
240-0067 神奈川県 横浜市保土ケ谷区 常盤台
240-0100 神奈川県 三浦郡葉山町 
240-0101 神奈川県 横須賀市 長坂
240-0102 神奈川県 横須賀市 荻野
240-0103 神奈川県 横須賀市 佐島
240-0104 神奈川県 横須賀市 芦名
240-0105 神奈川県 横須賀市 秋谷
240-0106 神奈川県 横須賀市 子安
240-0107 神奈川県 横須賀市 湘南国際村
240-0108 神奈川県 横須賀市 佐島の丘
240-0111 神奈川県 三浦郡葉山町 一色
240-0112 神奈川県 三浦郡葉山町 堀内
240-0113 神奈川県 三浦郡葉山町 長柄
240-0114 神奈川県 三浦郡葉山町 木古庭
240-0115 神奈川県 三浦郡葉山町 上山口
240-0116 神奈川県 三浦郡葉山町 下山口
240-0192 神奈川県 三浦郡葉山町 堀内
240-0193 神奈川県 三浦郡葉山町 上山口
240-0194 神奈川県 横須賀市 長坂
240-0195 神奈川県 横須賀市 長坂
240-0196 神奈川県 横須賀市 長坂
240-0197 神奈川県 三浦郡葉山町 上山口
240-0198 神奈川県 三浦郡葉山町 上山口
240-8501 神奈川県 横浜市保土ケ谷区 常盤台
240-8515 神奈川県 横浜市保土ケ谷区 神戸町
240-8521 神奈川県 横浜市保土ケ谷区 岩井町
240-8540 神奈川県 横浜市保土ケ谷区 川辺町
240-8550 神奈川県 横浜市保土ケ谷区 帷子町
240-8612 神奈川県 横浜市保土ケ谷区 岩井町
241-0000 神奈川県 横浜市旭区 
241-0001 神奈川県 横浜市旭区 上白根町
241-0002 神奈川県 横浜市旭区 上白根
241-0003 神奈川県 横浜市旭区 白根町
241-0004 神奈川県 横浜市旭区 中白根
241-0005 神奈川県 横浜市旭区 白根
241-0011 神奈川県 横浜市旭区 川島町
241-0012 神奈川県 横浜市旭区 西川島町
241-0013 神奈川県 横浜市旭区 三反田町
241-0014 神奈川県 横浜市旭区 市沢町
241-0015 神奈川県 横浜市旭区 小高町
241-0021 神奈川県 横浜市旭区 鶴ケ峰本町
241-0022 神奈川県 横浜市旭区 鶴ケ峰
241-0023 神奈川県 横浜市旭区 本宿町
241-0024 神奈川県 横浜市旭区 本村町
241-0025 神奈川県 横浜市旭区 四季美台
241-0031 神奈川県 横浜市旭区 今宿西町
241-0032 神奈川県 横浜市旭区 今宿東町
241-0033 神奈川県 横浜市旭区 今川町
241-0034 神奈川県 横浜市旭区 今宿南町
241-0801 神奈川県 横浜市旭区 若葉台
241-0802 神奈川県 横浜市旭区 上川井町
241-0803 神奈川県 横浜市旭区 川井本町
241-0804 神奈川県 横浜市旭区 川井宿町
241-0805 神奈川県 横浜市旭区 都岡町
241-0806 神奈川県 横浜市旭区 下川井町
241-0811 神奈川県 横浜市旭区 矢指町
241-0812 神奈川県 横浜市旭区 金が谷
241-0813 神奈川県 横浜市旭区 今宿町
241-0814 神奈川県 横浜市旭区 中沢
241-0815 神奈川県 横浜市旭区 中尾
241-0816 神奈川県 横浜市旭区 笹野台
241-0817 神奈川県 横浜市旭区 今宿
241-0821 神奈川県 横浜市旭区 二俣川
241-0822 神奈川県 横浜市旭区 さちが丘
241-0823 神奈川県 横浜市旭区 善部町
241-0824 神奈川県 横浜市旭区 南希望が丘
241-0825 神奈川県 横浜市旭区 中希望が丘
241-0826 神奈川県 横浜市旭区 東希望が丘
241-0831 神奈川県 横浜市旭区 左近山
241-0832 神奈川県 横浜市旭区 桐が作
241-0833 神奈川県 横浜市旭区 南本宿町
241-0834 神奈川県 横浜市旭区 大池町
241-0835 神奈川県 横浜市旭区 柏町
