250-0000 神奈川県 小田原市 
250-0001 神奈川県 小田原市 扇町
250-0002 神奈川県 小田原市 寿町
250-0003 神奈川県 小田原市 東町
250-0004 神奈川県 小田原市 浜町
250-0005 神奈川県 小田原市 中町
250-0011 神奈川県 小田原市 栄町
250-0012 神奈川県 小田原市 本町
250-0013 神奈川県 小田原市 南町
250-0014 神奈川県 小田原市 城内
250-0021 神奈川県 小田原市 早川
250-0022 神奈川県 小田原市 石橋
250-0023 神奈川県 小田原市 米神
250-0024 神奈川県 小田原市 根府川
250-0025 神奈川県 小田原市 江之浦
250-0031 神奈川県 小田原市 入生田
250-0032 神奈川県 小田原市 風祭
250-0033 神奈川県 小田原市 水之尾
250-0034 神奈川県 小田原市 板橋
250-0035 神奈川県 小田原市 南板橋
250-0041 神奈川県 小田原市 池上
250-0042 神奈川県 小田原市 荻窪
250-0043 神奈川県 小田原市 谷津
250-0044 神奈川県 小田原市 緑
250-0045 神奈川県 小田原市 城山
250-0046 神奈川県 小田原市 十字
250-0051 神奈川県 小田原市 北ノ窪
250-0052 神奈川県 小田原市 府川
250-0053 神奈川県 小田原市 穴部
250-0054 神奈川県 小田原市 多古
250-0055 神奈川県 小田原市 久野
250-0056 神奈川県 小田原市 井細田
250-0100 神奈川県 南足柄市 
250-0101 神奈川県 南足柄市 班目
250-0102 神奈川県 南足柄市 千津島
250-0103 神奈川県 南足柄市 壗下
250-0104 神奈川県 南足柄市 向田
250-0105 神奈川県 南足柄市 関本
250-0106 神奈川県 南足柄市 怒田
250-0107 神奈川県 南足柄市 小市
250-0111 神奈川県 南足柄市 竹松
250-0112 神奈川県 南足柄市 和田河原
250-0113 神奈川県 南足柄市 岩原
250-0114 神奈川県 南足柄市 北窪
250-0115 神奈川県 南足柄市 沼田
250-0116 神奈川県 南足柄市 三竹
250-0117 神奈川県 南足柄市 塚原
250-0121 神奈川県 南足柄市 広町
250-0122 神奈川県 南足柄市 飯沢
250-0123 神奈川県 南足柄市 中沼
250-0124 神奈川県 南足柄市 生駒
250-0125 神奈川県 南足柄市 駒形新宿
250-0126 神奈川県 南足柄市 狩野
250-0127 神奈川県 南足柄市 大雄町
250-0131 神奈川県 南足柄市 内山
250-0132 神奈川県 南足柄市 弘西寺
250-0133 神奈川県 南足柄市 福泉
250-0134 神奈川県 南足柄市 雨坪
250-0135 神奈川県 南足柄市 苅野
250-0136 神奈川県 南足柄市 矢倉沢
250-0192 神奈川県 南足柄市 関本
250-0201 神奈川県 小田原市 曽我大沢
250-0202 神奈川県 小田原市 上曽我
250-0203 神奈川県 小田原市 曽我岸
250-0204 神奈川県 小田原市 曽我谷津
250-0205 神奈川県 小田原市 曽我別所
250-0206 神奈川県 小田原市 曽我原
250-0207 神奈川県 小田原市 曽我光海
250-0208 神奈川県 小田原市 下大井
250-0211 神奈川県 小田原市 鬼柳
250-0212 神奈川県 小田原市 西大友
250-0213 神奈川県 小田原市 東大友
250-0214 神奈川県 小田原市 永塚
