300-0000 茨城県 土浦市 
300-0001 茨城県 土浦市 今泉
300-0002 茨城県 土浦市 粟野町
300-0003 茨城県 土浦市 紫ケ丘
300-0004 茨城県 土浦市 小山崎
300-0005 茨城県 土浦市 中貫
300-0006 茨城県 土浦市 東中貫町
300-0007 茨城県 土浦市 板谷
300-0008 茨城県 土浦市 笠師町
300-0009 茨城県 土浦市 中都町
300-0011 茨城県 土浦市 神立中央
300-0012 茨城県 土浦市 神立東
300-0013 茨城県 土浦市 神立町
300-0014 茨城県 土浦市 西神立
300-0015 茨城県 土浦市 北神立町
300-0016 茨城県 土浦市 中神立町
300-0021 茨城県 土浦市 菅谷町
300-0022 茨城県 土浦市 白鳥町
300-0023 茨城県 土浦市 沖宿町
300-0024 茨城県 土浦市 田村町
300-0025 茨城県 土浦市 手野町
300-0026 茨城県 土浦市 木田余
300-0027 茨城県 土浦市 木田余東台
300-0028 茨城県 土浦市 おおつ野
300-0031 茨城県 土浦市 東崎町
300-0032 茨城県 土浦市 湖北
300-0033 茨城県 土浦市 川口
300-0034 茨城県 土浦市 港町
300-0035 茨城県 土浦市 有明町
300-0036 茨城県 土浦市 大和町
300-0037 茨城県 土浦市 桜町
300-0038 茨城県 土浦市 大町
300-0041 茨城県 土浦市 立田町
300-0042 茨城県 土浦市 城北町
300-0043 茨城県 土浦市 中央
300-0044 茨城県 土浦市 大手町
300-0045 茨城県 土浦市 文京町
300-0046 茨城県 土浦市 千束町
300-0047 茨城県 土浦市 生田町
300-0048 茨城県 土浦市 田中
300-0049 茨城県 土浦市 田中町
300-0051 茨城県 土浦市 真鍋
300-0052 茨城県 土浦市 東真鍋町
300-0053 茨城県 土浦市 真鍋新町
300-0054 茨城県 土浦市 西真鍋町
300-0055 茨城県 土浦市 殿里
300-0056 茨城県 土浦市 木田余西台
300-0061 茨城県 土浦市 並木
300-0062 茨城県 土浦市 都和
300-0063 茨城県 土浦市 若松町
300-0064 茨城県 土浦市 東若松町
300-0065 茨城県 土浦市 常名
300-0066 茨城県 土浦市 虫掛
300-0067 茨城県 土浦市 東都和
300-0068 茨城県 土浦市 西並木町
300-0069 茨城県 土浦市 東並木町
300-0121 茨城県 かすみがうら市 宍倉
300-0122 茨城県 かすみがうら市 西成井
300-0123 茨城県 かすみがうら市 上軽部
300-0124 茨城県 かすみがうら市 大和田
300-0125 茨城県 かすみがうら市 三ツ木
300-0126 茨城県 かすみがうら市 南根本
300-0127 茨城県 かすみがうら市 上大堤
300-0131 茨城県 かすみがうら市 下大堤
300-0132 茨城県 かすみがうら市 男神
300-0133 茨城県 かすみがうら市 中台
300-0134 茨城県 かすみがうら市 深谷
300-0135 茨城県 かすみがうら市 加茂
300-0136 茨城県 かすみがうら市 戸崎
300-0192 茨城県 かすみがうら市 大和田
300-0193 茨城県 かすみがうら市 深谷
300-0201 茨城県 かすみがうら市 柏崎
300-0202 茨城県 かすみがうら市 田伏
300-0203 茨城県 かすみがうら市 岩坪
300-0204 茨城県 かすみがうら市 下軽部
300-0205 茨城県 かすみがうら市 安食
300-0211 茨城県 かすみがうら市 志戸崎
300-0212 茨城県 かすみがうら市 有河
300-0213 茨城県 かすみがうら市 牛渡
300-0214 茨城県 かすみがうら市 坂
300-0300 茨城県 稲敷郡阿見町 
300-0301 茨城県 稲敷郡阿見町 青宿
300-0302 茨城県 稲敷郡阿見町 廻戸
300-0303 茨城県 稲敷郡阿見町 大室
300-0304 茨城県 稲敷郡阿見町 掛馬
