310-0000 茨城県 水戸市 
310-0001 茨城県 水戸市 上河内町
310-0002 茨城県 水戸市 中河内町
310-0003 茨城県 水戸市 柳河町
310-0004 茨城県 水戸市 青柳町
310-0005 茨城県 水戸市 水府町
310-0011 茨城県 水戸市 三の丸
310-0012 茨城県 水戸市 城東
310-0013 茨城県 水戸市 若宮
310-0014 茨城県 水戸市 若宮町
310-0015 茨城県 水戸市 宮町
310-0021 茨城県 水戸市 南町
310-0022 茨城県 水戸市 梅香
310-0023 茨城県 水戸市 下梅香
310-0024 茨城県 水戸市 備前町
310-0025 茨城県 水戸市 天王町
310-0026 茨城県 水戸市 泉町
310-0031 茨城県 水戸市 大工町
310-0032 茨城県 水戸市 元山町
310-0033 茨城県 水戸市 常磐町
310-0034 茨城県 水戸市 緑町
310-0035 茨城県 水戸市 東原
310-0036 茨城県 水戸市 新荘
310-0041 茨城県 水戸市 上水戸
310-0042 茨城県 水戸市 自由が丘
310-0043 茨城県 水戸市 松が丘
310-0044 茨城県 水戸市 西原
310-0045 茨城県 水戸市 新原
310-0046 茨城県 水戸市 曙町
310-0051 茨城県 水戸市 ちとせ
310-0052 茨城県 水戸市 松本町
310-0053 茨城県 水戸市 末広町
310-0054 茨城県 水戸市 愛宕町
310-0055 茨城県 水戸市 袴塚
310-0056 茨城県 水戸市 文京
310-0061 茨城県 水戸市 北見町
310-0062 茨城県 水戸市 大町
310-0063 茨城県 水戸市 五軒町
310-0064 茨城県 水戸市 栄町
310-0065 茨城県 水戸市 八幡町
310-0066 茨城県 水戸市 金町
310-0067 茨城県 水戸市 根本
310-0068 茨城県 水戸市 根本町
310-0801 茨城県 水戸市 桜川
310-0802 茨城県 水戸市 柵町
310-0803 茨城県 水戸市 城南
310-0804 茨城県 水戸市 白梅
310-0805 茨城県 水戸市 中央
310-0811 茨城県 水戸市 東桜川
310-0812 茨城県 水戸市 浜田
310-0813 茨城県 水戸市 浜田町
310-0814 茨城県 水戸市 瓦谷
310-0815 茨城県 水戸市 本町
310-0816 茨城県 水戸市 紺屋町
310-0817 茨城県 水戸市 柳町
310-0818 茨城県 水戸市 東台
310-0821 茨城県 水戸市 中大野
310-0822 茨城県 水戸市 圷大野
310-0823 茨城県 水戸市 東大野
310-0824 茨城県 水戸市 西大野
310-0825 茨城県 水戸市 谷田町
310-0826 茨城県 水戸市 渋井町
310-0827 茨城県 水戸市 吉沼町
310-0831 茨城県 水戸市 朝日町
310-0832 茨城県 水戸市 吉田
310-0833 茨城県 水戸市 藤柄町
310-0834 茨城県 水戸市 宮内町
310-0835 茨城県 水戸市 元台町
310-0836 茨城県 水戸市 元吉田町
310-0841 茨城県 水戸市 酒門町
310-0842 茨城県 水戸市 けやき台
310-0843 茨城県 水戸市 元石川町
310-0844 茨城県 水戸市 住吉町
310-0845 茨城県 水戸市 吉沢町
310-0846 茨城県 水戸市 東野町
310-0847 茨城県 水戸市 米沢町
310-0851 茨城県 水戸市 千波町
310-0852 茨城県 水戸市 笠原町
310-0853 茨城県 水戸市 平須町
310-0901 茨城県 水戸市 田野町
310-0902 茨城県 水戸市 渡里町
310-0903 茨城県 水戸市 堀町
310-0904 茨城県 水戸市 石川町
310-0905 茨城県 水戸市 石川
310-0911 茨城県 水戸市 見和
310-0912 茨城県 水戸市 見川
310-0913 茨城県 水戸市 見川町
310-0914 茨城県 水戸市 小吹町
310-8282 茨城県 水戸市 桜川
310-8282 茨城県 水戸市 桜川
310-8282 茨城県 水戸市 桜川
310-8282 茨城県 水戸市 桜川
310-8282 茨城県 水戸市 桜川
310-8501 茨城県 水戸市 笠原町
310-8502 茨城県 水戸市 南町
310-8505 茨城県 水戸市 千波町
310-8508 茨城県 水戸市 末広町
310-8511 茨城県 水戸市 宮町
310-8512 茨城県 水戸市 文京
310-8520 茨城県 水戸市 千波町
310-8522 茨城県 水戸市 泉町
