340-0000 埼玉県 草加市 
340-0001 埼玉県 草加市 柿木町
340-0002 埼玉県 草加市 青柳
340-0003 埼玉県 草加市 稲荷
340-0004 埼玉県 草加市 弁天
340-0005 埼玉県 草加市 中根
340-0006 埼玉県 草加市 八幡町
340-0007 埼玉県 草加市 青柳町
340-0011 埼玉県 草加市 栄町
340-0012 埼玉県 草加市 神明
340-0013 埼玉県 草加市 松江
340-0014 埼玉県 草加市 住吉
340-0015 埼玉県 草加市 高砂
340-0016 埼玉県 草加市 中央
340-0017 埼玉県 草加市 吉町
340-0021 埼玉県 草加市 手代町
340-0022 埼玉県 草加市 瀬崎
340-0023 埼玉県 草加市 谷塚町
340-0024 埼玉県 草加市 谷塚上町
340-0025 埼玉県 草加市 谷塚仲町
340-0026 埼玉県 草加市 両新田東町
340-0027 埼玉県 草加市 両新田西町
340-0028 埼玉県 草加市 谷塚
340-0031 埼玉県 草加市 新里町
340-0032 埼玉県 草加市 遊馬町
340-0033 埼玉県 草加市 柳島町
340-0034 埼玉県 草加市 氷川町
340-0035 埼玉県 草加市 西町
340-0036 埼玉県 草加市 苗塚町
340-0041 埼玉県 草加市 松原
340-0042 埼玉県 草加市 学園町
340-0043 埼玉県 草加市 草加
340-0044 埼玉県 草加市 花栗
340-0045 埼玉県 草加市 小山
340-0046 埼玉県 草加市 北谷
340-0047 埼玉県 草加市 北谷町
340-0048 埼玉県 草加市 原町
340-0051 埼玉県 草加市 長栄町
340-0052 埼玉県 草加市 金明町
340-0053 埼玉県 草加市 旭町
340-0054 埼玉県 草加市 新善町
340-0055 埼玉県 草加市 清門町
340-0056 埼玉県 草加市 新栄町
340-0100 埼玉県 幸手市 
340-0101 埼玉県 幸手市 外国府間
340-0102 埼玉県 幸手市 高須賀
340-0103 埼玉県 幸手市 内国府間
340-0104 埼玉県 幸手市 円藤内
340-0105 埼玉県 幸手市 松石
340-0111 埼玉県 幸手市 北
340-0112 埼玉県 幸手市 権現堂
340-0113 埼玉県 幸手市 幸手
340-0114 埼玉県 幸手市 東
340-0115 埼玉県 幸手市 中
340-0116 埼玉県 幸手市 西
340-0121 埼玉県 幸手市 上吉羽
340-0122 埼玉県 幸手市 神明内
340-0123 埼玉県 幸手市 木立
340-0124 埼玉県 幸手市 上宇和田
340-0125 埼玉県 幸手市 下宇和田
340-0126 埼玉県 幸手市 下吉羽
340-0131 埼玉県 幸手市 西関宿
340-0132 埼玉県 幸手市 中島
340-0133 埼玉県 幸手市 惣新田
340-0134 埼玉県 幸手市 花島
340-0135 埼玉県 幸手市 槇野地
340-0136 埼玉県 幸手市 細野
340-0141 埼玉県 幸手市 平野
340-0142 埼玉県 幸手市 中野
340-0143 埼玉県 幸手市 長間
340-0144 埼玉県 幸手市 戸島
340-0145 埼玉県 幸手市 平須賀
340-0146 埼玉県 幸手市 神扇
340-0151 埼玉県 幸手市 緑台
340-0152 埼玉県 幸手市 天神島
340-0153 埼玉県 幸手市 吉野
