360-0000 埼玉県 熊谷市 
360-0001 埼玉県 熊谷市 上中条
360-0002 埼玉県 熊谷市 大塚
360-0003 埼玉県 熊谷市 下川上
360-0004 埼玉県 熊谷市 上川上
360-0005 埼玉県 熊谷市 今井
360-0006 埼玉県 熊谷市 四方寺
360-0011 埼玉県 熊谷市 池上
360-0012 埼玉県 熊谷市 上之
360-0013 埼玉県 熊谷市 中西
360-0014 埼玉県 熊谷市 箱田
360-0015 埼玉県 熊谷市 肥塚
360-0016 埼玉県 熊谷市 熊谷
360-0017 埼玉県 熊谷市 小曽根
360-0018 埼玉県 熊谷市 中央
360-0021 埼玉県 熊谷市 平戸
360-0022 埼玉県 熊谷市 戸出
360-0023 埼玉県 熊谷市 佐谷田
360-0024 埼玉県 熊谷市 問屋町
360-0025 埼玉県 熊谷市 太井
360-0026 埼玉県 熊谷市 久下
360-0027 埼玉県 熊谷市 新川
360-0031 埼玉県 熊谷市 末広
360-0032 埼玉県 熊谷市 銀座
360-0033 埼玉県 熊谷市 曙町
360-0034 埼玉県 熊谷市 万平町
360-0035 埼玉県 熊谷市 河原町
360-0036 埼玉県 熊谷市 桜木町
360-0037 埼玉県 熊谷市 筑波
360-0041 埼玉県 熊谷市 宮町
360-0042 埼玉県 熊谷市 本町
360-0043 埼玉県 熊谷市 星川
360-0044 埼玉県 熊谷市 弥生
360-0045 埼玉県 熊谷市 宮前町
360-0046 埼玉県 熊谷市 鎌倉町
360-0047 埼玉県 熊谷市 仲町
360-0101 埼玉県 熊谷市 野原
360-0102 埼玉県 熊谷市 須賀広
360-0103 埼玉県 熊谷市 小江川
360-0104 埼玉県 熊谷市 塩
360-0105 埼玉県 熊谷市 板井
360-0106 埼玉県 熊谷市 柴
360-0107 埼玉県 熊谷市 千代
360-0111 埼玉県 熊谷市 押切
360-0112 埼玉県 熊谷市 樋春
360-0113 埼玉県 熊谷市 御正新田
360-0114 埼玉県 熊谷市 江南中央
360-0115 埼玉県 熊谷市 成沢
360-0116 埼玉県 熊谷市 三本
360-0117 埼玉県 熊谷市 上新田
360-0121 埼玉県 熊谷市 手島
360-0122 埼玉県 熊谷市 小泉
360-0123 埼玉県 熊谷市 下恩田
360-0124 埼玉県 熊谷市 中恩田
360-0125 埼玉県 熊谷市 上恩田
360-0131 埼玉県 熊谷市 屈戸
360-0132 埼玉県 熊谷市 津田新田
360-0133 埼玉県 熊谷市 中曽根
360-0134 埼玉県 熊谷市 高本
360-0135 埼玉県 熊谷市 沼黒
360-0136 埼玉県 熊谷市 吉所敷
360-0161 埼玉県 熊谷市 万吉
360-0162 埼玉県 熊谷市 村岡
360-0163 埼玉県 熊谷市 平塚新田
360-0164 埼玉県 熊谷市 楊井
360-0192 埼玉県 熊谷市 江南中央
360-0193 埼玉県 熊谷市 千代
360-0194 埼玉県 熊谷市 万吉
360-0195 埼玉県 熊谷市 中曽根
360-0196 埼玉県 熊谷市 江南中央
360-0197 埼玉県 熊谷市 板井
360-0201 埼玉県 熊谷市 妻沼
