370-0000 群馬県 高崎市 
370-0001 群馬県 高崎市 中尾町
370-0002 群馬県 高崎市 日高町
370-0003 群馬県 高崎市 新保田中町
370-0004 群馬県 高崎市 井野町
370-0005 群馬県 高崎市 浜尻町
370-0006 群馬県 高崎市 問屋町
370-0007 群馬県 高崎市 問屋町西
370-0008 群馬県 高崎市 正観寺町
370-0011 群馬県 高崎市 京目町
370-0012 群馬県 高崎市 大沢町
370-0013 群馬県 高崎市 萩原町
370-0014 群馬県 高崎市 元島名町
370-0015 群馬県 高崎市 島野町
370-0016 群馬県 高崎市 矢島町
370-0017 群馬県 高崎市 西島町
370-0018 群馬県 高崎市 新保町
370-0021 群馬県 高崎市 西横手町
370-0022 群馬県 高崎市 宿横手町
370-0023 群馬県 高崎市 中島町
370-0024 群馬県 高崎市 八幡原町
370-0025 群馬県 高崎市 下斉田町
370-0026 群馬県 高崎市 下滝町
370-0027 群馬県 高崎市 上滝町
370-0031 群馬県 高崎市 上大類町
370-0032 群馬県 高崎市 宿大類町
370-0033 群馬県 高崎市 中大類町
370-0034 群馬県 高崎市 下大類町
370-0035 群馬県 高崎市 柴崎町
370-0036 群馬県 高崎市 南大類町
370-0041 群馬県 高崎市 東貝沢町
370-0042 群馬県 高崎市 貝沢町
370-0043 群馬県 高崎市 高関町
370-0044 群馬県 高崎市 岩押町
370-0045 群馬県 高崎市 東町
370-0046 群馬県 高崎市 江木町
370-0047 群馬県 高崎市 高砂町
370-0048 群馬県 高崎市 日光町
370-0051 群馬県 高崎市 弓町
370-0052 群馬県 高崎市 旭町
370-0053 群馬県 高崎市 通町
370-0054 群馬県 高崎市 真町
370-0055 群馬県 高崎市 羅漢町
370-0056 群馬県 高崎市 北通町
370-0057 群馬県 高崎市 元紺屋町
370-0058 群馬県 高崎市 九蔵町
370-0059 群馬県 高崎市 椿町
370-0061 群馬県 高崎市 天神町
370-0062 群馬県 高崎市 稲荷町
370-0063 群馬県 高崎市 飯玉町
370-0064 群馬県 高崎市 芝塚町
370-0065 群馬県 高崎市 末広町
370-0066 群馬県 高崎市 山田町
370-0067 群馬県 高崎市 請地町
370-0068 群馬県 高崎市 昭和町
370-0069 群馬県 高崎市 飯塚町
370-0071 群馬県 高崎市 小八木町
370-0072 群馬県 高崎市 大八木町
370-0073 群馬県 高崎市 緑町
370-0074 群馬県 高崎市 下小鳥町
370-0075 群馬県 高崎市 筑縄町
370-0076 群馬県 高崎市 下小塙町
370-0077 群馬県 高崎市 上小塙町
370-0078 群馬県 高崎市 上小鳥町
370-0081 群馬県 高崎市 浜川町
370-0082 群馬県 高崎市 北新波町
370-0083 群馬県 高崎市 南新波町
370-0084 群馬県 高崎市 菊地町
370-0085 群馬県 高崎市 我峰町
370-0086 群馬県 高崎市 沖町
370-0087 群馬県 高崎市 楽間町
370-0088 群馬県 高崎市 行力町
370-0101 群馬県 伊勢崎市 境東新井
370-0102 群馬県 伊勢崎市 境上渕名
370-0103 群馬県 伊勢崎市 境下渕名
370-0104 群馬県 伊勢崎市 境木島
370-0105 群馬県 伊勢崎市 境伊与久
370-0111 群馬県 伊勢崎市 境上矢島
370-0112 群馬県 伊勢崎市 境西今井
370-0113 群馬県 伊勢崎市 境三ツ木
370-0114 群馬県 伊勢崎市 境新栄
370-0115 群馬県 伊勢崎市 境美原
370-0116 群馬県 伊勢崎市 境百々東
370-0117 群馬県 伊勢崎市 境百々
370-0121 群馬県 伊勢崎市 境女塚
370-0122 群馬県 伊勢崎市 境栄
370-0123 群馬県 伊勢崎市 境東
370-0124 群馬県 伊勢崎市 境
370-0125 群馬県 伊勢崎市 境萩原
370-0126 群馬県 伊勢崎市 境下武士
370-0127 群馬県 伊勢崎市 境上武士
370-0128 群馬県 伊勢崎市 境保泉
