400-0000 山梨県 甲府市 
400-0001 山梨県 甲府市 和田町
400-0002 山梨県 甲府市 小松町
400-0003 山梨県 甲府市 塚原町
400-0004 山梨県 甲府市 西田町
400-0005 山梨県 甲府市 北新
400-0006 山梨県 甲府市 天神町
400-0007 山梨県 甲府市 美咲
400-0008 山梨県 甲府市 緑が丘
400-0011 山梨県 甲府市 上積翠寺町
400-0012 山梨県 甲府市 下積翠寺町
400-0013 山梨県 甲府市 岩窪町
400-0014 山梨県 甲府市 古府中町
400-0015 山梨県 甲府市 大手
400-0016 山梨県 甲府市 武田
400-0017 山梨県 甲府市 屋形
400-0021 山梨県 甲府市 宮前町
400-0022 山梨県 甲府市 元紺屋町
400-0023 山梨県 甲府市 愛宕町
400-0024 山梨県 甲府市 北口
400-0025 山梨県 甲府市 朝日
400-0026 山梨県 甲府市 塩部
400-0027 山梨県 甲府市 富士見
400-0028 山梨県 甲府市 音羽町
400-0031 山梨県 甲府市 丸の内
400-0032 山梨県 甲府市 中央
400-0033 山梨県 甲府市 寿町
400-0034 山梨県 甲府市 宝
400-0035 山梨県 甲府市 飯田
400-0041 山梨県 甲府市 上石田
400-0042 山梨県 甲府市 高畑
400-0043 山梨県 甲府市 国母
400-0044 山梨県 甲府市 上小河原町
400-0045 山梨県 甲府市 後屋町
400-0046 山梨県 甲府市 下石田
400-0047 山梨県 甲府市 徳行
400-0048 山梨県 甲府市 貢川本町
400-0049 山梨県 甲府市 富竹
400-0051 山梨県 甲府市 古上条町
400-0052 山梨県 甲府市 上条新居町
400-0053 山梨県 甲府市 大里町
400-0054 山梨県 甲府市 西下条町
400-0055 山梨県 甲府市 大津町
400-0056 山梨県 甲府市 堀之内町
400-0057 山梨県 甲府市 高室町
400-0058 山梨県 甲府市 宮原町
400-0061 山梨県 甲府市 荒川
400-0062 山梨県 甲府市 池田
400-0063 山梨県 甲府市 金竹町
400-0064 山梨県 甲府市 下飯田
400-0065 山梨県 甲府市 貢川
400-0066 山梨県 甲府市 新田町
400-0067 山梨県 甲府市 長松寺町
400-0068 山梨県 甲府市 下河原町
400-0069 山梨県 甲府市 中村町
400-0071 山梨県 甲府市 羽黒町
400-0072 山梨県 甲府市 大和町
400-0073 山梨県 甲府市 湯村
400-0074 山梨県 甲府市 千塚
400-0075 山梨県 甲府市 山宮町
400-0081 山梨県 甲府市 上帯那町
400-0082 山梨県 甲府市 下帯那町
400-0083 山梨県 甲府市 平瀬町
400-0100 山梨県 甲斐市 
400-0101 山梨県 甲斐市 菖蒲沢
400-0102 山梨県 甲斐市 団子新居
400-0103 山梨県 甲斐市 大垈
400-0104 山梨県 甲斐市 龍地
400-0105 山梨県 甲斐市 下今井
400-0106 山梨県 甲斐市 岩森
400-0107 山梨県 甲斐市 志田
400-0108 山梨県 甲斐市 宇津谷
400-0111 山梨県 甲斐市 竜王新町
400-0112 山梨県 甲斐市 名取
400-0113 山梨県 甲斐市 富竹新田
400-0114 山梨県 甲斐市 万才
400-0115 山梨県 甲斐市 篠原
400-0116 山梨県 甲斐市 玉川
400-0117 山梨県 甲斐市 西八幡
400-0118 山梨県 甲斐市 竜王
400-0121 山梨県 甲斐市 牛句
400-0122 山梨県 甲斐市 境
400-0123 山梨県 甲斐市 島上条
400-0124 山梨県 甲斐市 中下条
400-0125 山梨県 甲斐市 長塚
400-0126 山梨県 甲斐市 大下条
400-0127 山梨県 甲斐市 天狗沢
400-0128 山梨県 甲斐市 大久保
400-0192 山梨県 甲斐市 篠原
400-0193 山梨県 甲斐市 島上条
400-0194 山梨県 甲斐市 龍地
400-0195 山梨県 甲斐市 名取
400-0196 山梨県 甲斐市 下今井
400-0201 山梨県 南アルプス市 上高砂
400-0202 山梨県 南アルプス市 下高砂
400-0203 山梨県 南アルプス市 徳永
400-0204 山梨県 南アルプス市 榎原
400-0205 山梨県 南アルプス市 野牛島
400-0206 山梨県 南アルプス市 六科
400-0211 山梨県 南アルプス市 上今諏訪
400-0212 山梨県 南アルプス市 下今諏訪
400-0213 山梨県 南アルプス市 西野
400-0214 山梨県 南アルプス市 百々
400-0215 山梨県 南アルプス市 上八田
400-0221 山梨県 南アルプス市 在家塚
400-0222 山梨県 南アルプス市 飯野
400-0223 山梨県 南アルプス市 曲輪田新田
400-0224 山梨県 南アルプス市 飯野新田
400-0225 山梨県 南アルプス市 築山
400-0226 山梨県 南アルプス市 有野
400-0231 山梨県 南アルプス市 塩前
400-0232 山梨県 南アルプス市 駒場
400-0233 山梨県 南アルプス市 須沢
400-0234 山梨県 南アルプス市 大嵐
400-0241 山梨県 南アルプス市 芦安芦倉
400-0242 山梨県 南アルプス市 芦安安通
400-0280 山梨県 南アルプス市 上今諏訪
400-0292 山梨県 南アルプス市 飯野
400-0293 山梨県 南アルプス市 芦安芦倉
400-0298 山梨県 南アルプス市 野牛島
400-0301 山梨県 南アルプス市 桃園
400-0302 山梨県 南アルプス市 沢登
400-0303 山梨県 南アルプス市 上今井
400-0304 山梨県 南アルプス市 吉田
400-0305 山梨県 南アルプス市 十五所
400-0306 山梨県 南アルプス市 小笠原
400-0308 山梨県 南アルプス市 山寺
400-0311 山梨県 南アルプス市 曲輪田
400-0312 山梨県 南アルプス市 上宮地
400-0313 山梨県 南アルプス市 平岡
400-0314 山梨県 南アルプス市 下市之瀬
400-0315 山梨県 南アルプス市 上野
400-0316 山梨県 南アルプス市 中野
400-0317 山梨県 南アルプス市 上市之瀬
400-0318 山梨県 南アルプス市 高尾
400-0319 山梨県 南アルプス市 あやめが丘
400-0331 山梨県 南アルプス市 下今井
400-0332 山梨県 南アルプス市 鏡中條
400-0333 山梨県 南アルプス市 浅原
400-0334 山梨県 南アルプス市 藤田
400-0335 山梨県 南アルプス市 加賀美
400-0336 山梨県 南アルプス市 十日市場
400-0337 山梨県 南アルプス市 寺部
400-0393 山梨県 南アルプス市 寺部
400-0395 山梨県 南アルプス市 小笠原
400-0398 山梨県 南アルプス市 桃園
400-0400 山梨県 南アルプス市 
400-0401 山梨県 南アルプス市 江原
400-0402 山梨県 南アルプス市 田島
400-0403 山梨県 南アルプス市 鮎沢
400-0404 山梨県 南アルプス市 古市場
400-0405 山梨県 南アルプス市 下宮地
400-0411 山梨県 南アルプス市 西南湖
400-0412 山梨県 南アルプス市 東南湖
400-0413 山梨県 南アルプス市 和泉
400-0414 山梨県 南アルプス市 戸田
400-0415 山梨県 南アルプス市 宮沢
400-0416 山梨県 南アルプス市 大師
400-0417 山梨県 南アルプス市 清水
400-0421 山梨県 南アルプス市 川上
400-0422 山梨県 南アルプス市 荊沢
400-0423 山梨県 南アルプス市 落合
400-0424 山梨県 南アルプス市 秋山
400-0425 山梨県 南アルプス市 湯沢
400-0426 山梨県 南アルプス市 塚原
400-0492 山梨県 南アルプス市 鮎沢
400-0493 山梨県 南アルプス市 戸田
400-0495 山梨県 南アルプス市 宮沢
400-0498 山梨県 南アルプス市 宮沢
400-0500 山梨県 南巨摩郡富士川町 
400-0501 山梨県 南巨摩郡富士川町 青柳町
400-0502 山梨県 南巨摩郡富士川町 最勝寺
400-0503 山梨県 南巨摩郡富士川町 天神中條
400-0504 山梨県 南巨摩郡富士川町 小林
400-0505 山梨県 南巨摩郡富士川町 長澤
400-0506 山梨県 南巨摩郡富士川町 大椚
400-0511 山梨県 南巨摩郡富士川町 大久保
400-0512 山梨県 南巨摩郡富士川町 小室
400-0513 山梨県 南巨摩郡富士川町 高下
400-0514 山梨県 南巨摩郡富士川町 平林
400-0515 山梨県 南巨摩郡富士川町 舂米
400-0592 山梨県 南巨摩郡富士川町 天神中條
400-0593 山梨県 南巨摩郡富士川町 小林
400-0598 山梨県 南巨摩郡富士川町 最勝寺
400-0600 山梨県 南巨摩郡鰍沢町 
400-0601 山梨県 南巨摩郡富士川町 鰍沢
400-0602 山梨県 南巨摩郡富士川町 駅前通
400-0603 山梨県 南巨摩郡富士川町 鹿島
400-0604 山梨県 南巨摩郡富士川町 箱原
400-0605 山梨県 南巨摩郡富士川町 柳川
400-0606 山梨県 南巨摩郡富士川町 十谷
400-0607 山梨県 南巨摩郡富士川町 鳥屋
400-0608 山梨県 南巨摩郡富士川町 長知沢
400-0692 山梨県 南巨摩郡富士川町 鰍沢
400-0693 山梨県 南巨摩郡富士川町 鰍沢
400-0695 山梨県 南巨摩郡富士川町 鰍沢
400-0801 山梨県 甲府市 善光寺町
400-0802 山梨県 甲府市 横根町
400-0803 山梨県 甲府市 桜井町
400-0804 山梨県 甲府市 酒折町
400-0805 山梨県 甲府市 酒折
400-0806 山梨県 甲府市 善光寺
400-0807 山梨県 甲府市 東光寺
400-0808 山梨県 甲府市 東光寺町
400-0811 山梨県 甲府市 川田町
400-0812 山梨県 甲府市 和戸町
400-0813 山梨県 甲府市 向町
400-0814 山梨県 甲府市 上阿原町
400-0815 山梨県 甲府市 国玉町
400-0821 山梨県 甲府市 砂田町
400-0822 山梨県 甲府市 里吉
400-0823 山梨県 甲府市 里吉町
400-0824 山梨県 甲府市 蓬沢町
400-0825 山梨県 甲府市 七沢町
400-0826 山梨県 甲府市 西高橋町
400-0827 山梨県 甲府市 蓬沢
400-0828 山梨県 甲府市 青葉町
400-0831 山梨県 甲府市 上町
400-0832 山梨県 甲府市 増坪町
400-0833 山梨県 甲府市 西油川町
400-0834 山梨県 甲府市 落合町
400-0835 山梨県 甲府市 下鍛冶屋町
400-0836 山梨県 甲府市 小瀬町
400-0841 山梨県 甲府市 小曲町
400-0842 山梨県 甲府市 下今井町
400-0843 山梨県 甲府市 東下条町
400-0844 山梨県 甲府市 中町
400-0845 山梨県 甲府市 上今井町
400-0851 山梨県 甲府市 住吉
400-0852 山梨県 甲府市 住吉本町
400-0853 山梨県 甲府市 下小河原町
400-0854 山梨県 甲府市 中小河原町
400-0855 山梨県 甲府市 中小河原
400-0856 山梨県 甲府市 伊勢
400-0857 山梨県 甲府市 幸町
400-0858 山梨県 甲府市 相生
400-0861 山梨県 甲府市 城東
400-0862 山梨県 甲府市 朝気
400-0863 山梨県 甲府市 南口町
400-0864 山梨県 甲府市 湯田
400-0865 山梨県 甲府市 太田町
400-0866 山梨県 甲府市 若松町
400-0867 山梨県 甲府市 青沼
400-1111 山梨県 甲斐市 千田
400-1112 山梨県 甲斐市 吉沢
400-1113 山梨県 甲斐市 亀沢
400-1114 山梨県 甲斐市 打返
400-1115 山梨県 甲斐市 漆戸
400-1116 山梨県 甲斐市 獅子平
400-1117 山梨県 甲斐市 上菅口
400-1121 山梨県 甲斐市 上芦沢
400-1122 山梨県 甲斐市 下芦沢
400-1123 山梨県 甲斐市 上福沢
400-1124 山梨県 甲斐市 下福沢
400-1125 山梨県 甲斐市 下菅口
400-1126 山梨県 甲斐市 安寺
400-1127 山梨県 甲斐市 神戸
400-1131 山梨県 甲斐市 亀沢
400-1131 山梨県 甲斐市 亀沢
400-1211 山梨県 甲府市 黒平町
400-1212 山梨県 甲府市 高町
400-1213 山梨県 甲府市 川窪町
400-1214 山梨県 甲府市 高成町
400-1215 山梨県 甲府市 竹日向町
400-1216 山梨県 甲府市 塔岩町
400-1217 山梨県 甲府市 猪狩町
400-1218 山梨県 甲府市 御岳町
400-1219 山梨県 甲府市 草鹿沢町
400-1501 山梨県 甲府市 上曽根町
400-1502 山梨県 甲府市 白井町
400-1503 山梨県 甲府市 心経寺町
400-1504 山梨県 甲府市 右左口町
400-1505 山梨県 甲府市 中畑町
400-1506 山梨県 甲府市 上向山町
400-1507 山梨県 甲府市 下向山町
400-1508 山梨県 甲府市 下曽根町
400-1511 山梨県 中央市 木原
400-1512 山梨県 中央市 関原
400-1513 山梨県 中央市 大鳥居
400-1514 山梨県 中央市 浅利
400-1515 山梨県 中央市 高部
400-1592 山梨県 甲府市 下向山町
400-1593 山梨県 甲府市 下曽根町
400-1594 山梨県 中央市 大鳥居
400-1597 山梨県 中央市 高部
400-1598 山梨県 甲府市 下曽根町
400-8501 山梨県 甲府市 丸の内
400-8502 山梨県 甲府市 丸の内
400-8505 山梨県 甲府市 北口
400-8506 山梨県 甲府市 富士見
400-8508 山梨県 甲府市 横根町
400-8510 山梨県 甲府市 武田
400-8511 山梨県 甲府市 武田
400-8512 山梨県 甲府市 相生
400-8515 山梨県 甲府市 北口
400-8521 山梨県 甲府市 湯村
400-8525 山梨県 甲府市 北口
400-8531 山梨県 甲府市 丸の内
400-8533 山梨県 甲府市 天神町
400-8535 山梨県 甲府市 北口
400-8536 山梨県 甲府市 丸の内
400-8540 山梨県 甲府市 国母
400-8543 山梨県 甲府市 太田町
400-8544 山梨県 甲府市 丸の内
400-8545 山梨県 甲府市 北口
400-8550 山梨県 甲府市 川田町
400-8555 山梨県 甲府市 横根町
400-8556 山梨県 甲府市 中央
400-8558 山梨県 甲府市 高室町
400-8559 山梨県 甲府市 丸の内
400-8565 山梨県 甲府市 塩部
400-8566 山梨県 甲府市 国母
400-8570 山梨県 甲府市 湯田
400-8571 山梨県 甲府市 丸の内
400-8575 山梨県 甲府市 酒折
400-8577 山梨県 甲府市 丸の内
400-8578 山梨県 甲府市 緑が丘
400-8585 山梨県 甲府市 丸の内
400-8586 山梨県 甲府市 丸の内
400-8588 山梨県 甲府市 飯田
400-8601 山梨県 甲府市 丸の内
400-8610 山梨県 甲府市 丸の内
400-8633 山梨県 甲府市 中央
400-8666 山梨県 甲府市 幸町
400-8794 山梨県 甲府市 北口
401-0000 山梨県 大月市 
401-0001 山梨県 大月市 賑岡町畑倉
401-0002 山梨県 大月市 賑岡町岩殿
401-0003 山梨県 大月市 賑岡町ゆりケ丘
401-0004 山梨県 大月市 賑岡町強瀬
401-0005 山梨県 大月市 賑岡町浅利
401-0006 山梨県 大月市 賑岡町奥山
401-0011 山梨県 大月市 駒橋
401-0012 山梨県 大月市 御太刀
401-0013 山梨県 大月市 大月
401-0013 山梨県 大月市 大月
401-0013 山梨県 大月市 大月
401-0014 山梨県 大月市 大月町大月
401-0015 山梨県 大月市 大月町花咲
401-0016 山梨県 大月市 大月町真木
401-0021 山梨県 大月市 初狩町下初狩
401-0022 山梨県 大月市 初狩町中初狩
401-0023 山梨県 大月市 笹子町白野
401-0024 山梨県 大月市 笹子町吉久保
401-0025 山梨県 大月市 笹子町黒野田
401-0201 山梨県 上野原市 秋山
401-0292 山梨県 上野原市 秋山
401-0300 山梨県 南都留郡富士河口湖町 
401-0301 山梨県 南都留郡富士河口湖町 船津
401-0302 山梨県 南都留郡富士河口湖町 小立
401-0303 山梨県 南都留郡富士河口湖町 浅川
401-0304 山梨県 南都留郡富士河口湖町 河口
401-0305 山梨県 南都留郡富士河口湖町 大石
401-0310 山梨県 南都留郡富士河口湖町 勝山
401-0320 山梨県 南都留郡鳴沢村 
401-0331 山梨県 南都留郡富士河口湖町 長浜
401-0332 山梨県 南都留郡富士河口湖町 西湖
401-0333 山梨県 南都留郡富士河口湖町 西湖西
401-0334 山梨県 南都留郡富士河口湖町 西湖南
401-0335 山梨県 南都留郡富士河口湖町 大嵐
401-0336 山梨県 南都留郡富士河口湖町 精進
401-0337 山梨県 南都留郡富士河口湖町 本栖
401-0338 山梨県 南都留郡富士河口湖町 富士ケ嶺
401-0380 山梨県 南都留郡富士河口湖町 小立
401-0395 山梨県 南都留郡富士河口湖町 船津
401-0396 山梨県 南都留郡富士河口湖町 船津
401-0397 山梨県 南都留郡鳴沢村 
401-0398 山梨県 南都留郡鳴沢村 
401-0500 山梨県 南都留郡忍野村 
401-0500 山梨県 南都留郡山中湖村 
401-0501 山梨県 南都留郡山中湖村 山中
401-0502 山梨県 南都留郡山中湖村 平野
401-0511 山梨県 南都留郡忍野村 忍草
401-0512 山梨県 南都留郡忍野村 内野
401-0592 山梨県 南都留郡忍野村 忍草
401-0595 山梨県 南都留郡山中湖村 山中
401-0597 山梨県 南都留郡忍野村 忍草
401-8501 山梨県 大月市 大月町花咲
401-8601 山梨県 大月市 大月
402-0000 山梨県 都留市 
402-0001 山梨県 都留市 田野倉
402-0002 山梨県 都留市 大原
402-0003 山梨県 都留市 川茂
402-0004 山梨県 都留市 古川渡
402-0005 山梨県 都留市 四日市場
402-0006 山梨県 都留市 小形山
402-0011 山梨県 都留市 井倉
402-0012 山梨県 都留市 与縄
402-0013 山梨県 都留市 盛里
402-0014 山梨県 都留市 朝日馬場
402-0015 山梨県 都留市 朝日曽雌
402-0021 山梨県 都留市 玉川
402-0022 山梨県 都留市 戸沢
402-0023 山梨県 都留市 大野
402-0024 山梨県 都留市 小野
402-0025 山梨県 都留市 法能
402-0031 山梨県 都留市 十日市場
402-0032 山梨県 都留市 鹿留
402-0033 山梨県 都留市 境
402-0034 山梨県 都留市 桂町
402-0035 山梨県 都留市 夏狩
402-0041 山梨県 都留市 金井
402-0042 山梨県 都留市 厚原
402-0043 山梨県 都留市 平栗
402-0044 山梨県 都留市 加畑
402-0045 山梨県 都留市 大幡
402-0046 山梨県 都留市 中津森
402-0051 山梨県 都留市 下谷
402-0052 山梨県 都留市 中央
402-0053 山梨県 都留市 上谷
402-0054 山梨県 都留市 田原
402-0055 山梨県 都留市 川棚
402-0056 山梨県 都留市 つる
402-0200 山梨県 南都留郡道志村 
402-0201 山梨県 南都留郡道志村 月夜野
402-0202 山梨県 南都留郡道志村 大野
402-0203 山梨県 南都留郡道志村 久保
402-0204 山梨県 南都留郡道志村 大室指
402-0205 山梨県 南都留郡道志村 椿
402-0206 山梨県 南都留郡道志村 小善地
402-0207 山梨県 南都留郡道志村 大栗
402-0208 山梨県 南都留郡道志村 馬場
402-0209 山梨県 南都留郡道志村 竹之本
402-0211 山梨県 南都留郡道志村 東和出村
402-0212 山梨県 南都留郡道志村 西和出村
