410-0000 静岡県 沼津市 
410-0001 静岡県 沼津市 足高
410-0002 静岡県 沼津市 東沢田
410-0003 静岡県 沼津市 新沢田町
410-0004 静岡県 沼津市 本田町
410-0005 静岡県 沼津市 双葉町
410-0006 静岡県 沼津市 中沢田
410-0007 静岡県 沼津市 西沢田
410-0011 静岡県 沼津市 岡宮
410-0012 静岡県 沼津市 岡一色
410-0013 静岡県 沼津市 東熊堂
410-0014 静岡県 沼津市 松沢町
410-0015 静岡県 沼津市 駿河台
410-0016 静岡県 沼津市 高砂町
410-0017 静岡県 沼津市 高尾台
410-0018 静岡県 沼津市 豊町
410-0021 静岡県 沼津市 小林台
410-0022 静岡県 沼津市 大岡
410-0031 静岡県 沼津市 三枚橋
410-0032 静岡県 沼津市 日の出町
410-0033 静岡県 沼津市 杉崎町
410-0034 静岡県 沼津市 富士見町
410-0035 静岡県 沼津市 山王台
410-0036 静岡県 沼津市 平町
410-0037 静岡県 沼津市 三枚橋町
410-0038 静岡県 沼津市 三芳町
410-0041 静岡県 沼津市 筒井町
410-0042 静岡県 沼津市 神田町
410-0043 静岡県 沼津市 柳町
410-0044 静岡県 沼津市 五月町
410-0045 静岡県 沼津市 泉町
410-0046 静岡県 沼津市 米山町
410-0047 静岡県 沼津市 庄栄町
410-0048 静岡県 沼津市 新宿町
410-0049 静岡県 沼津市 江原町
410-0051 静岡県 沼津市 西熊堂
410-0052 静岡県 沼津市 沢田町
410-0053 静岡県 沼津市 寿町
410-0054 静岡県 沼津市 北高島町
410-0055 静岡県 沼津市 高島本町
410-0056 静岡県 沼津市 高島町
410-0057 静岡県 沼津市 高沢町
410-0058 静岡県 沼津市 沼北町
410-0059 静岡県 沼津市 若葉町
410-0061 静岡県 沼津市 北園町
410-0062 静岡県 沼津市 宮前町
410-0063 静岡県 沼津市 緑ケ丘
410-0064 静岡県 沼津市 共栄町
410-0065 静岡県 沼津市 花園町
410-0101 静岡県 沼津市 多比
410-0102 静岡県 沼津市 口野
