460-0000 愛知県 名古屋市中区 
460-0001 愛知県 名古屋市中区 三の丸
460-0002 愛知県 名古屋市中区 丸の内
460-0003 愛知県 名古屋市中区 錦
460-0004 愛知県 名古屋市中区 新栄町
460-0005 愛知県 名古屋市中区 東桜
460-0006 愛知県 名古屋市中区 葵
460-0007 愛知県 名古屋市中区 新栄
460-0008 愛知県 名古屋市中区 栄
460-0011 愛知県 名古屋市中区 大須
460-0012 愛知県 名古屋市中区 千代田
460-0013 愛知県 名古屋市中区 上前津
460-0014 愛知県 名古屋市中区 富士見町
460-0015 愛知県 名古屋市中区 大井町
460-0016 愛知県 名古屋市中区 橘
460-0017 愛知県 名古屋市中区 松原
460-0018 愛知県 名古屋市中区 門前町
460-0021 愛知県 名古屋市中区 平和
460-0022 愛知県 名古屋市中区 金山
460-0023 愛知県 名古屋市中区 金山町
460-0024 愛知県 名古屋市中区 正木
460-0025 愛知県 名古屋市中区 古渡町
460-0026 愛知県 名古屋市中区 伊勢山
460-0031 愛知県 名古屋市中区 本丸
460-0032 愛知県 名古屋市中区 二の丸
460-8201 愛知県 名古屋市中区 丸の内
460-8202 愛知県 名古屋市中区 丸の内
460-8203 愛知県 名古屋市中区 栄
460-8204 愛知県 名古屋市中区 栄
460-8302 愛知県 名古屋市中区 大須
460-8310 愛知県 名古屋市中区 千代田
460-8311 愛知県 名古屋市中区 橘
460-8312 愛知県 名古屋市中区 千代田
460-8314 愛知県 名古屋市中区 橘
460-8315 愛知県 名古屋市中区 大須
460-8318 愛知県 名古屋市中区 千代田
460-8319 愛知県 名古屋市中区 大須
460-8320 愛知県 名古屋市中区 松原
460-8321 愛知県 名古屋市中区 新栄
460-8325 愛知県 名古屋市中区 大須
460-8330 愛知県 名古屋市中区 上前津
460-8331 愛知県 名古屋市中区 上前津
460-8333 愛知県 名古屋市中区 上前津
460-8338 愛知県 名古屋市中区 古渡町
460-8350 愛知県 名古屋市中区 正木
460-8351 愛知県 名古屋市中区 正木
460-8351 愛知県 名古屋市中区 正木
460-8358 愛知県 名古屋市中区 大須
