470-0100 愛知県 日進市 
470-0100 愛知県 愛知郡東郷町 
470-0101 愛知県 日進市 三本木町
470-0102 愛知県 日進市 藤島町
470-0103 愛知県 日進市 北新町
470-0104 愛知県 日進市 岩藤町
470-0105 愛知県 日進市 五色園
470-0111 愛知県 日進市 米野木町
470-0112 愛知県 日進市 藤枝町
470-0113 愛知県 日進市 栄
470-0114 愛知県 日進市 南ケ丘
470-0115 愛知県 日進市 折戸町
470-0116 愛知県 日進市 東山
470-0117 愛知県 日進市 藤塚
470-0121 愛知県 日進市 本郷町
470-0122 愛知県 日進市 蟹甲町
470-0123 愛知県 日進市 野方町
470-0124 愛知県 日進市 浅田町
470-0125 愛知県 日進市 赤池
470-0126 愛知県 日進市 赤池町
470-0127 愛知県 日進市 赤池南
470-0128 愛知県 日進市 浅田平子
470-0131 愛知県 日進市 岩崎町
470-0132 愛知県 日進市 梅森町
470-0133 愛知県 日進市 梅森台
470-0134 愛知県 日進市 香久山
470-0135 愛知県 日進市 岩崎台
470-0136 愛知県 日進市 竹の山
470-0151 愛知県 愛知郡東郷町 諸輪
470-0152 愛知県 愛知郡東郷町 北山台
470-0153 愛知県 愛知郡東郷町 和合
470-0154 愛知県 愛知郡東郷町 和合ケ丘
470-0155 愛知県 愛知郡東郷町 白鳥
470-0156 愛知県 愛知郡東郷町 御岳
470-0161 愛知県 愛知郡東郷町 春木台
470-0162 愛知県 愛知郡東郷町 春木
470-0163 愛知県 愛知郡東郷町 涼松
470-0164 愛知県 愛知郡東郷町 三ツ池
470-0165 愛知県 愛知郡東郷町 清水
470-0166 愛知県 愛知郡東郷町 兵庫
470-0188 愛知県 日進市 岩崎町
470-0192 愛知県 日進市 蟹甲町
470-0194 愛知県 日進市 浅田町
470-0195 愛知県 日進市 岩崎町
470-0196 愛知県 日進市 岩崎町
470-0198 愛知県 愛知郡東郷町 春木
470-0200 愛知県 みよし市 
470-0201 愛知県 みよし市 黒笹町
