480-0100 愛知県 丹羽郡大口町 
480-0100 愛知県 丹羽郡扶桑町 
480-0101 愛知県 丹羽郡扶桑町 山那
480-0102 愛知県 丹羽郡扶桑町 高雄
480-0103 愛知県 丹羽郡扶桑町 柏森
480-0104 愛知県 丹羽郡扶桑町 斉藤
480-0105 愛知県 丹羽郡扶桑町 南山名
480-0106 愛知県 丹羽郡扶桑町 小淵
480-0107 愛知県 丹羽郡扶桑町 高木
480-0121 愛知県 丹羽郡大口町 河北
480-0122 愛知県 丹羽郡大口町 仲沖
480-0123 愛知県 丹羽郡大口町 二ツ屋
480-0124 愛知県 丹羽郡大口町 萩島
480-0125 愛知県 丹羽郡大口町 外坪
480-0126 愛知県 丹羽郡大口町 伝右
480-0127 愛知県 丹羽郡大口町 新宮
480-0131 愛知県 丹羽郡大口町 高橋
480-0132 愛知県 丹羽郡大口町 秋田
480-0133 愛知県 丹羽郡大口町 替地
480-0134 愛知県 丹羽郡大口町 豊田
480-0135 愛知県 丹羽郡大口町 御供所
480-0136 愛知県 丹羽郡大口町 堀尾跡
480-0137 愛知県 丹羽郡大口町 大屋敷
480-0138 愛知県 丹羽郡大口町 大御堂
480-0139 愛知県 丹羽郡大口町 奈良子
480-0141 愛知県 丹羽郡大口町 上小口
480-0142 愛知県 丹羽郡大口町 中小口
480-0143 愛知県 丹羽郡大口町 城屋敷
480-0144 愛知県 丹羽郡大口町 下小口
480-0145 愛知県 丹羽郡大口町 丸
480-0146 愛知県 丹羽郡大口町 余野
480-0147 愛知県 丹羽郡大口町 竹田
480-0148 愛知県 丹羽郡大口町 小口
480-0149 愛知県 丹羽郡大口町 垣田
480-0151 愛知県 丹羽郡大口町 さつきケ丘
480-0192 愛知県 丹羽郡大口町 中小口
480-0193 愛知県 丹羽郡大口町 下小口
480-0195 愛知県 丹羽郡大口町 豊田
480-0197 愛知県 丹羽郡大口町 小口
480-0198 愛知県 丹羽郡大口町 高橋
480-0200 愛知県 西春日井郡豊山町 
480-0201 愛知県 西春日井郡豊山町 青山
480-0202 愛知県 西春日井郡豊山町 豊場
480-0281 愛知県 西春日井郡豊山町 豊場
480-0282 愛知県 西春日井郡豊山町 豊場
480-0288 愛知県 西春日井郡豊山町 豊場
480-0291 愛知県 西春日井郡豊山町 豊場
480-0292 愛知県 西春日井郡豊山町 豊場
480-0293 愛知県 西春日井郡豊山町 豊場
480-0294 愛知県 西春日井郡豊山町 豊場
480-0296 愛知県 西春日井郡豊山町 豊場
480-0301 愛知県 春日井市 内津町
480-0302 愛知県 春日井市 西尾町
480-0303 愛知県 春日井市 明知町
480-0304 愛知県 春日井市 神屋町
480-0305 愛知県 春日井市 坂下町
480-0306 愛知県 春日井市 上野町
480-0392 愛知県 春日井市 神屋町
480-0393 愛知県 春日井市 神屋町
480-0395 愛知県 春日井市 坂下町
480-1100 愛知県 長久手市 
480-1101 愛知県 愛知郡長久手町 熊張
480-1102 愛知県 長久手市 前熊一ノ井
480-1102 愛知県 長久手市 前熊志水
480-1102 愛知県 長久手市 前熊下田
480-1102 愛知県 長久手市 前熊寺田
480-1102 愛知県 長久手市 前熊中井
480-1102 愛知県 長久手市 前熊西脇
480-1102 愛知県 長久手市 前熊根ノ上
480-1102 愛知県 長久手市 前熊根ノ原
480-1102 愛知県 長久手市 前熊橋ノ本
480-1102 愛知県 長久手市 前熊原山
480-1102 愛知県 長久手市 前熊広面
480-1102 愛知県 長久手市 前熊堀越
480-1102 愛知県 長久手市 前熊前山
480-1102 愛知県 長久手市 前熊溝下
480-1103 愛知県 長久手市 岩作石田
480-1103 愛知県 長久手市 岩作井戸ケ根
480-1103 愛知県 長久手市 岩作色金
480-1103 愛知県 長久手市 岩作浮江
480-1103 愛知県 長久手市 岩作内万場
480-1103 愛知県 長久手市 岩作大根
480-1103 愛知県 長久手市 岩作落合
480-1103 愛知県 長久手市 岩作折戸ケ平
480-1103 愛知県 長久手市 岩作欠花
480-1103 愛知県 長久手市 岩作壁ノ本
480-1103 愛知県 長久手市 岩作雁又
480-1103 愛知県 長久手市 岩作北山
480-1103 愛知県 長久手市 岩作狐洞
480-1103 愛知県 長久手市 岩作五反田
480-1103 愛知県 長久手市 岩作権田
480-1103 愛知県 長久手市 岩作権代
480-1103 愛知県 長久手市 岩作三ケ峯
480-1103 愛知県 長久手市 岩作申立花
480-1103 愛知県 長久手市 岩作下島
480-1103 愛知県 長久手市 岩作下田
480-1103 愛知県 長久手市 岩作下堀越
480-1103 愛知県 長久手市 岩作蛇洞
480-1103 愛知県 長久手市 岩作白針
480-1103 愛知県 長久手市 岩作城の内
480-1103 愛知県 長久手市 岩作隅田
480-1103 愛知県 長久手市 岩作高根
480-1103 愛知県 長久手市 岩作高根前
480-1103 愛知県 長久手市 岩作高山
480-1103 愛知県 長久手市 岩作塚本
480-1103 愛知県 長久手市 岩作寺田
480-1103 愛知県 長久手市 岩作寺山
480-1103 愛知県 長久手市 岩作床寒
480-1103 愛知県 長久手市 岩作泥亀首
480-1103 愛知県 長久手市 岩作寅山
480-1103 愛知県 長久手市 岩作酉立花
480-1103 愛知県 長久手市 岩作長池
480-1103 愛知県 長久手市 岩作長筬
480-1103 愛知県 長久手市 岩作中権代
480-1103 愛知県 長久手市 岩作中島
480-1103 愛知県 長久手市 岩作長鶴
480-1103 愛知県 長久手市 岩作中縄手
480-1103 愛知県 長久手市 岩作中根
480-1103 愛知県 長久手市 岩作中根原
480-1103 愛知県 長久手市 岩作中立花
480-1103 愛知県 長久手市 岩作中脇
480-1103 愛知県 長久手市 岩作西浦
480-1103 愛知県 長久手市 岩作西島
480-1103 愛知県 長久手市 岩作東島
480-1103 愛知県 長久手市 岩作東中
480-1103 愛知県 長久手市 岩作平子
