490-1100 愛知県 海部郡大治町 
490-1100 愛知県 海部郡大治町 
490-1101 愛知県 あま市 方領
490-1102 愛知県 あま市 石作
490-1103 愛知県 あま市 栄
490-1104 愛知県 あま市 西今宿
490-1105 愛知県 あま市 新居屋
490-1106 愛知県 あま市 小路
490-1107 愛知県 あま市 森
490-1111 愛知県 あま市 甚目寺
490-1112 愛知県 あま市 上萱津
490-1113 愛知県 あま市 中萱津
490-1114 愛知県 あま市 下萱津
490-1115 愛知県 あま市 坂牧
490-1116 愛知県 あま市 本郷
490-1131 愛知県 海部郡大治町 長牧
490-1132 愛知県 海部郡大治町 北間島
490-1133 愛知県 海部郡大治町 八ツ屋
490-1134 愛知県 海部郡大治町 東條
490-1135 愛知県 海部郡大治町 鎌須賀
490-1136 愛知県 海部郡大治町 花常
490-1137 愛知県 海部郡大治町 堀之内
490-1141 愛知県 海部郡大治町 馬島
490-1142 愛知県 海部郡大治町 三本木
490-1143 愛知県 海部郡大治町 砂子
490-1144 愛知県 海部郡大治町 西條
490-1145 愛知県 海部郡大治町 中島
490-1192 愛知県 海部郡大治町 馬島
490-1193 愛知県 あま市 西今宿
490-1194 愛知県 あま市 中萱津
490-1198 愛知県 あま市 甚目寺
490-1200 愛知県 あま市 
490-1201 愛知県 あま市 古道
490-1202 愛知県 あま市 富塚
490-1203 愛知県 あま市 木折
490-1204 愛知県 あま市 花長
490-1205 愛知県 あま市 花正
490-1206 愛知県 あま市 東溝口
490-1207 愛知県 あま市 二ツ寺
490-1211 愛知県 あま市 篠田
490-1212 愛知県 あま市 小橋方
490-1213 愛知県 あま市 乙之子
490-1214 愛知県 あま市 北苅
490-1221 愛知県 あま市 金岩
490-1222 愛知県 あま市 木田
490-1223 愛知県 あま市 森山
490-1224 愛知県 あま市 丹波
490-1225 愛知県 あま市 蜂須賀
490-1226 愛知県 あま市 中橋
490-1292 愛知県 あま市 木田
490-1293 愛知県 あま市 木折
490-1295 愛知県 あま市 篠田
490-1296 愛知県 あま市 乙之子
490-1301 愛知県 稲沢市 平和町須ケ谷
490-1302 愛知県 稲沢市 平和町観音堂
490-1303 愛知県 稲沢市 平和町上三宅
490-1304 愛知県 稲沢市 平和町法立
490-1305 愛知県 稲沢市 平和町
490-1305 愛知県 稲沢市 平和町
490-1305 愛知県 稲沢市 平和町
490-1311 愛知県 稲沢市 平和町中三宅
490-1312 愛知県 稲沢市 平和町下三宅
490-1313 愛知県 稲沢市 平和町横池
490-1314 愛知県 稲沢市 平和町西光坊
490-1315 愛知県 稲沢市 平和町平池
490-1321 愛知県 稲沢市 平和町東城
490-1322 愛知県 稲沢市 平和町
490-1322 愛知県 稲沢市 平和町
490-1323 愛知県 稲沢市 平和町
490-1323 愛知県 稲沢市 平和町
490-1323 愛知県 稲沢市 平和町
490-1323 愛知県 稲沢市 平和町
490-1323 愛知県 稲沢市 平和町
490-1323 愛知県 稲沢市 平和町
490-1323 愛知県 稲沢市 平和町
490-1323 愛知県 稲沢市 平和町
490-1323 愛知県 稲沢市 平和町
490-1323 愛知県 稲沢市 平和町
490-1323 愛知県 稲沢市 平和町
490-1323 愛知県 稲沢市 平和町
490-1323 愛知県 稲沢市 平和町
490-1323 愛知県 稲沢市 平和町
490-1323 愛知県 稲沢市 平和町
490-1323 愛知県 稲沢市 平和町
490-1323 愛知県 稲沢市 平和町
490-1323 愛知県 稲沢市 平和町
490-1392 愛知県 稲沢市 平和町横池
490-1400 愛知県 海部郡飛島村 
490-1401 愛知県 弥富市 六條町
490-1402 愛知県 弥富市 五斗山
490-1403 愛知県 弥富市 鳥ケ地
490-1403 愛知県 弥富市 鳥ケ地町
490-1404 愛知県 弥富市 桴場
490-1405 愛知県 弥富市 神戸
490-1405 愛知県 弥富市 神戸町
490-1406 愛知県 弥富市 鍋平
490-1407 愛知県 弥富市 三百島
490-1411 愛知県 弥富市 善太町
490-1412 愛知県 弥富市 馬ケ地
490-1413 愛知県 弥富市 子宝
490-1413 愛知県 弥富市 子宝町
490-1414 愛知県 弥富市 坂中地
490-1414 愛知県 弥富市 坂中地町
490-1415 愛知県 弥富市 鮫ケ地
490-1415 愛知県 弥富市 鮫ケ地町
490-1421 愛知県 弥富市 上押萩
490-1421 愛知県 弥富市 上押萩町
490-1422 愛知県 弥富市 下押萩
490-1422 愛知県 弥富市 下押萩町
490-1423 愛知県 弥富市 海屋
490-1423 愛知県 弥富市 海屋町
490-1424 愛知県 弥富市 亀ケ地
490-1425 愛知県 弥富市 東蜆
490-1426 愛知県 弥富市 四郎兵衛
490-1426 愛知県 弥富市 四郎兵衛町
490-1427 愛知県 弥富市 西蜆
490-1428 愛知県 弥富市 竹田
490-1431 愛知県 海部郡飛島村 服岡
490-1432 愛知県 海部郡飛島村 三福
490-1433 愛知県 海部郡飛島村 渚
490-1434 愛知県 海部郡飛島村 松之郷
490-1435 愛知県 海部郡飛島村 梅之郷
490-1436 愛知県 海部郡飛島村 竹之郷
490-1436 愛知県 海部郡飛島村 飛島新田
490-1437 愛知県 海部郡飛島村 飛島新田
490-1437 愛知県 海部郡飛島村 元起
490-1438 愛知県 海部郡飛島村 大宝
490-1441 愛知県 海部郡飛島村 政成新田
490-1442 愛知県 海部郡飛島村 古政成
490-1443 愛知県 海部郡飛島村 新政成
490-1444 愛知県 海部郡飛島村 木場
490-1445 愛知県 海部郡飛島村 金岡
490-1446 愛知県 海部郡飛島村 東浜
490-1447 愛知県 海部郡飛島村 西浜
491-0000 愛知県 一宮市 
491-0001 愛知県 一宮市 瀬部
491-0002 愛知県 一宮市 時之島
491-0003 愛知県 一宮市 春明
491-0004 愛知県 一宮市 定水寺
491-0005 愛知県 一宮市 西大海道
491-0011 愛知県 一宮市 柚木颪
491-0012 愛知県 一宮市 小赤見
491-0013 愛知県 一宮市 北小渕
491-0014 愛知県 一宮市 南小渕
491-0015 愛知県 一宮市 大赤見
491-0021 愛知県 一宮市 東両郷町
491-0022 愛知県 一宮市 両郷町
491-0023 愛知県 一宮市 赤見
491-0024 愛知県 一宮市 富士
491-0025 愛知県 一宮市 羽衣
491-0026 愛知県 一宮市 和光
491-0027 愛知県 一宮市 藤塚町
491-0028 愛知県 一宮市 朝日
491-0031 愛知県 一宮市 観音町
491-0032 愛知県 一宮市 下沼町
491-0033 愛知県 一宮市 別明町
491-0034 愛知県 一宮市 浜町
491-0035 愛知県 一宮市 大浜
491-0036 愛知県 一宮市 桜
491-0037 愛知県 一宮市 貴船
491-0041 愛知県 一宮市 文京
491-0042 愛知県 一宮市 松降
491-0043 愛知県 一宮市 真清田
491-0044 愛知県 一宮市 大宮
491-0045 愛知県 一宮市 音羽
491-0046 愛知県 一宮市 天王
491-0051 愛知県 一宮市 今伊勢町馬寄
491-0052 愛知県 一宮市 今伊勢町新神戸
491-0053 愛知県 一宮市 今伊勢町本神戸
491-0054 愛知県 一宮市 大正通
491-0055 愛知県 一宮市 神戸町
491-0056 愛知県 一宮市 東出町
491-0057 愛知県 一宮市 今伊勢町宮後
491-0058 愛知県 一宮市 今伊勢町馬寄
491-0059 愛知県 一宮市 一宮
491-0061 愛知県 一宮市 乾町
491-0062 愛知県 一宮市 西島町
491-0063 愛知県 一宮市 常願通
491-0064 愛知県 一宮市 宮西通
