500-0000 岐阜県 岐阜市 
500-8001 岐阜県 岐阜市 鏡岩
500-8002 岐阜県 岐阜市 御手洗
500-8003 岐阜県 岐阜市 大宮町
500-8004 岐阜県 岐阜市 千畳敷
500-8005 岐阜県 岐阜市 上材木町
500-8006 岐阜県 岐阜市 堤外
500-8007 岐阜県 岐阜市 元浜町
500-8008 岐阜県 岐阜市 玉井町
500-8009 岐阜県 岐阜市 湊町
500-8011 岐阜県 岐阜市 木挽町
500-8012 岐阜県 岐阜市 山口町
500-8013 岐阜県 岐阜市 松下町
500-8014 岐阜県 岐阜市 夕陽ケ丘
500-8015 岐阜県 岐阜市 松山町
500-8016 岐阜県 岐阜市 松ケ枝町
500-8017 岐阜県 岐阜市 梶川町
500-8018 岐阜県 岐阜市 大仏町
500-8019 岐阜県 岐阜市 益屋町
500-8021 岐阜県 岐阜市 上茶屋町
500-8022 岐阜県 岐阜市 下茶屋町
500-8023 岐阜県 岐阜市 今町
500-8024 岐阜県 岐阜市 上新町
500-8025 岐阜県 岐阜市 久屋町
500-8026 岐阜県 岐阜市 上大久和町
500-8027 岐阜県 岐阜市 中大桑町
500-8028 岐阜県 岐阜市 西材木町
500-8029 岐阜県 岐阜市 東材木町
500-8031 岐阜県 岐阜市 蜂屋町
500-8032 岐阜県 岐阜市 中新町
500-8033 岐阜県 岐阜市 魚屋町
500-8034 岐阜県 岐阜市 本町
500-8035 岐阜県 岐阜市 布屋町
500-8036 岐阜県 岐阜市 甚衛町
500-8037 岐阜県 岐阜市 下新町
500-8038 岐阜県 岐阜市 大工町
500-8039 岐阜県 岐阜市 下大桑町
500-8041 岐阜県 岐阜市 靱屋町
500-8042 岐阜県 岐阜市 末広町
500-8043 岐阜県 岐阜市 伊奈波通
500-8044 岐阜県 岐阜市 万力町
500-8045 岐阜県 岐阜市 新桜町
500-8046 岐阜県 岐阜市 米屋町
500-8047 岐阜県 岐阜市 中竹屋町
500-8048 岐阜県 岐阜市 大和町
500-8049 岐阜県 岐阜市 上竹屋町
500-8051 岐阜県 岐阜市 駿河山
500-8052 岐阜県 岐阜市 鶯谷
500-8053 岐阜県 岐阜市 鶯谷町
500-8054 岐阜県 岐阜市 大門町
500-8055 岐阜県 岐阜市 笹土居町
500-8056 岐阜県 岐阜市 下竹町
500-8057 岐阜県 岐阜市 上竹町
500-8058 岐阜県 岐阜市 常盤町
500-8059 岐阜県 岐阜市 栄扇町
500-8061 岐阜県 岐阜市 小熊町
500-8062 岐阜県 岐阜市 初音町
500-8063 岐阜県 岐阜市 金屋横町
500-8064 岐阜県 岐阜市 柳沢町
500-8065 岐阜県 岐阜市 金屋町
500-8066 岐阜県 岐阜市 下太田町
500-8067 岐阜県 岐阜市 秋津町
500-8068 岐阜県 岐阜市 上太田町
500-8069 岐阜県 岐阜市 今小町
500-8071 岐阜県 岐阜市 柳町
500-8072 岐阜県 岐阜市 緑町
500-8073 岐阜県 岐阜市 泉町
500-8074 岐阜県 岐阜市 七軒町
500-8075 岐阜県 岐阜市 室町
500-8076 岐阜県 岐阜市 司町
500-8077 岐阜県 岐阜市 伊吹町
500-8078 岐阜県 岐阜市 柳生町
500-8079 岐阜県 岐阜市 御杉町
