510-0000 三重県 四日市市 
510-0000 三重県 三重郡朝日町 
510-0000 三重県 三重郡川越町 
510-0001 三重県 四日市市 八田
510-0002 三重県 四日市市 羽津中
510-0003 三重県 四日市市 大宮町
510-0004 三重県 四日市市 大宮西町
510-0005 三重県 四日市市 山手町
510-0006 三重県 四日市市 緑丘町
510-0007 三重県 四日市市 別名
510-0008 三重県 四日市市 南いかるが町
510-0011 三重県 四日市市 霞
510-0012 三重県 四日市市 羽津
510-0013 三重県 四日市市 富士町
510-0014 三重県 四日市市 金場町
510-0015 三重県 四日市市 城山町
510-0016 三重県 四日市市 羽津山町
510-0017 三重県 四日市市 羽津町
510-0018 三重県 四日市市 白須賀
510-0021 三重県 四日市市 三郎町
510-0022 三重県 四日市市 大協町
510-0023 三重県 四日市市 午起
510-0024 三重県 四日市市 新浜町
510-0025 三重県 四日市市 東新町
510-0026 三重県 四日市市 高浜町
510-0027 三重県 四日市市 高浜新町
510-0031 三重県 四日市市 浜一色町
510-0032 三重県 四日市市 京町
510-0033 三重県 四日市市 川原町
510-0034 三重県 四日市市 滝川町
510-0035 三重県 四日市市 陶栄町
510-0041 三重県 四日市市 稲葉町
510-0042 三重県 四日市市 高砂町
510-0043 三重県 四日市市 南納屋町
510-0044 三重県 四日市市 相生町
510-0045 三重県 四日市市 蔵町
510-0046 三重県 四日市市 浜町
510-0047 三重県 四日市市 北納屋町
510-0048 三重県 四日市市 中納屋町
510-0051 三重県 四日市市 千歳町
510-0052 三重県 四日市市 末広町
510-0053 三重県 四日市市 曙
510-0054 三重県 四日市市 曙町
510-0055 三重県 四日市市 寿町
510-0056 三重県 四日市市 南起町
510-0057 三重県 四日市市 昌栄町
510-0058 三重県 四日市市 西末広町
510-0059 三重県 四日市市 尾上町
510-0061 三重県 四日市市 朝日町
510-0062 三重県 四日市市 北浜田町
510-0063 三重県 四日市市 十七軒町
510-0064 三重県 四日市市 新正
510-0065 三重県 四日市市 中浜田町
510-0066 三重県 四日市市 南浜田町
510-0067 三重県 四日市市 浜田町
510-0068 三重県 四日市市 三栄町
510-0069 三重県 四日市市 幸町
510-0071 三重県 四日市市 西浦
510-0072 三重県 四日市市 九の城町
510-0073 三重県 四日市市 西浜田町
510-0074 三重県 四日市市 鵜の森
510-0075 三重県 四日市市 安島
510-0076 三重県 四日市市 堀木
510-0081 三重県 四日市市 北町
510-0082 三重県 四日市市 中部
510-0083 三重県 四日市市 沖の島町
510-0084 三重県 四日市市 栄町
510-0085 三重県 四日市市 諏訪町
510-0086 三重県 四日市市 諏訪栄町
510-0087 三重県 四日市市 西新地
510-0088 三重県 四日市市 元町
510-0089 三重県 四日市市 西町
510-0091 三重県 四日市市 北浜町
510-0092 三重県 四日市市 新町
510-0093 三重県 四日市市 本町
510-0094 三重県 四日市市 新々町
510-0095 三重県 四日市市 元新町
510-0096 三重県 四日市市 中町
510-0097 三重県 四日市市 八幡町
510-0098 三重県 四日市市 北条町
510-0101 三重県 四日市市 楠町小倉
510-0102 三重県 四日市市 楠町吉崎
510-0103 三重県 四日市市 楠町北五味塚
510-0104 三重県 四日市市 楠町南五味塚
510-0105 三重県 四日市市 楠町南川
510-0106 三重県 四日市市 楠町本郷
510-0107 三重県 四日市市 楠町北一色
510-0192 三重県 四日市市 楠町北五味塚
510-0201 三重県 鈴鹿市 稲生町
510-0202 三重県 鈴鹿市 野町
510-0203 三重県 鈴鹿市 野村町
510-0204 三重県 鈴鹿市 稲生西
510-0205 三重県 鈴鹿市 稲生
510-0206 三重県 鈴鹿市 稲生こがね園
510-0207 三重県 鈴鹿市 稲生塩屋
510-0208 三重県 鈴鹿市 鈴鹿ハイツ
510-0211 三重県 鈴鹿市 東旭が丘
510-0212 三重県 鈴鹿市 中旭が丘
510-0213 三重県 鈴鹿市 南旭が丘
510-0216 三重県 鈴鹿市 野町中
